"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1824;1042;11;0;633;138;4638;6462
"LK Altötting";2801;1564;2;3;1210;22;4779;7580
"LK Amberg-Sulzbach";1545;805;0;1;387;352;3896;5441
"LK Ansbach";1978;1583;1;2;357;35;8011;9989
"LK Aschaffenburg";2275;1425;4;1;814;31;7017;9292
"LK Augsburg";3933;2166;114;23;1522;108;9984;13917
"LK Bad Kissingen";1128;830;36;0;216;46;3076;4204
"LK Bad Tölz-Wolfratshausen";2253;982;9;0;1195;67;4887;7140
"LK Bamberg";1677;1138;18;3;511;7;4772;6449
"LK Bayreuth";1456;1184;1;0;271;0;3938;5394
"LK Berchtesgadener Land";2000;751;12;4;1228;5;6662;8662
"LK Cham";4088;2966;3;5;1060;54;4576;8664
"LK Coburg";1636;1244;3;0;374;15;3816;5452
"LK Dachau";2920;1603;2;1;1281;33;7296;10216
"LK Deggendorf";1550;274;1;1;677;597;6817;8367
"LK Dillingen a.d.Donau";1800;1011;26;0;751;12;3020;4820
"LK Dingolfing-Landau";2962;1970;13;1;950;28;4297;7259
"LK Donau-Ries";2534;1444;45;1;890;154;4708;7242
"LK Ebersberg";2412;965;6;2;1387;52;5617;8029
"LK Eichstätt";1963;1300;1;7;626;29;4316;6279
"LK Erding";2813;1302;6;12;1453;40;5953;8766
"LK Erlangen-Höchstadt";1509;953;2;7;493;54;4874;6383
"LK Forchheim";1771;1195;1;3;552;20;3845;5616
"LK Freising";3163;1780;9;12;1263;99;7037;10200
"LK Freyung-Grafenau";1594;933;26;1;568;66;4123;5717
"LK Fürstenfeldbruck";2971;1776;11;0;1142;42;8560;11531
"LK Fürth";1832;1116;8;0;692;16;4513;6345
"LK Garmisch-Partenkirchen";1296;849;4;2;395;46;2948;4244
"LK Günzburg";2809;1702;100;1;946;60;5646;8455
"LK Haßberge";1709;1312;18;0;349;30;2958;4667
"LK Hof";2478;2136;5;0;307;30;4408;6886
"LK Kelheim";2480;1568;2;3;872;35;4828;7308
"LK Kitzingen";1253;710;2;3;500;38;2713;3966
"LK Kronach";978;857;2;1;108;10;3636;4614
"LK Kulmbach";1739;1361;0;0;318;60;2778;4517
"LK Landsberg a.Lech";1616;728;136;0;645;107;3575;5191
"LK Landshut";3264;1630;0;1;1248;385;6324;9588
"LK Lichtenfels";1417;1155;2;0;253;7;2558;3975
"LK Lindau";1335;823;13;0;480;19;2795;4130
"LK Main-Spessart";1752;1279;2;1;461;9;3584;5336
"LK Miesbach";1473;802;2;0;651;18;4639;6112
"LK Miltenberg";2152;1307;2;0;826;17;4921;7073
"LK Mühldorf a.Inn";3102;1681;6;10;1385;20;5820;8922
"LK München";4948;2584;6;5;2179;174;13733;18681
"LK Neu-Ulm";3359;2153;70;3;1112;21;6501;9860
"LK Neuburg-Schrobenhausen";1710;996;1;2;686;25;3435;5145
"LK Neumarkt i.d.OPf.";1547;594;0;0;878;75;6601;8148
"LK Neustadt a.d.Aisch-Bad Windsheim";1575;1016;0;2;515;42;3664;5239
"LK Neustadt a.d.Waldnaab";1493;496;1;0;289;707;4297;5790
