"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";10396;9630;1;484;20511
"'10-19";19474;19120;3;589;39186
"20-29";33303;31099;6;1162;65570
"30-39";27875;26674;8;1096;55653
"40-49";25966;28712;6;996;55680
"50-59";31227;32377;6;733;64343
"60-69";16476;15367;4;338;32185
"70-79";11347;12182;7;234;23770
"80-89";8983;16516;19;252;25770
"90-99";1764;6149;5;93;8011
"100+";43;149;0;10;202
"Unbekannt";120;125;0;47;292
"Gesamt";186974;198100;65;6034;391173
