"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"4";"0";"0";"6"
"'6-11";"2";"2";"0";"0";"4"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"1";"0";"0";"2"
"20-34";"27";"23";"0";"0";"50"
"35-59";"785";"337";"0";"2";"1124"
"60-79";"4279";"2321";"0";"21";"6621"
"80+";"6703";"8091";"0";"55";"14849"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"11799";"10780";"0";"78";"22657"
