"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"62083";"58470";"7";"1299";"121859"
"'6-11";"131607";"117924";"15";"3284";"252830"
"'12-15";"74438";"68023";"14";"1254";"143729"
"16-19";"73207";"72710";"16";"1087";"147020"
"20-34";"301831";"299856";"42";"4854";"606583"
"35-59";"441404";"466445";"53";"6467";"914369"
"60-79";"124892";"123897";"13";"1304";"250106"
"80+";"32461";"58177";"2";"534";"91174"
"unbekannt";"633";"695";"1";"72";"1401"
"Gesamt";"1242556";"1266197";"163";"20155";"2529071"
