"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";14601;13496;1;621;28719
"'10-19";24762;24256;5;735;49758
"20-29";41992;38970;4;1355;82321
"30-39";35932;33835;8;1257;71032
"40-49";33433;36129;5;1145;70712
"50-59";39887;40447;6;913;81253
"60-69";20918;19505;3;408;40834
"70-79";13781;14749;6;274;28810
"80-89";10524;18919;18;311;29772
"90-99";1995;6826;5;102;8928
"100+";34;144;0;4;182
"Unbekannt";37;31;0;28;96
"Gesamt";237896;247307;61;7153;492417
