"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";17332;16115;1;700;34148
"'10-19";28985;28214;5;845;58049
"20-29";47708;44019;5;1454;93186
"30-39";41177;38580;8;1326;81091
"40-49";38382;40904;6;1232;80524
"50-59";45330;45239;7;994;91570
"60-69";23481;21894;3;434;45812
"70-79";14981;16016;6;285;31288
"80-89";11034;19716;18;319;31087
"90-99";2055;7032;5;111;9203
"100+";36;155;0;11;202
"Unbekannt";45;41;0;32;118
"Gesamt";270546;277925;64;7743;556278
