"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";12966;12116;0;412;25494
"'6-11";18154;16623;2;429;35208
"'12-15";14183;12993;2;340;27518
"16-19";20487;20326;3;376;41192
"20-34";96348;87556;5;2052;185961
"35-59";135442;135998;10;2722;274172
"60-79";48608;47540;1;648;96797
"80+";16477;31890;2;367;48736
"Unbekannt";22;24;0;6;52
"Gesamt";362687;365066;25;7352;735130
