"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22481;20833;1;720;44035
"'10-19";35838;34419;5;894;71156
"20-29";56520;51503;4;1463;109490
"30-39";48823;45688;5;1362;95878
"40-49";45540;47821;4;1236;94601
"50-59";53057;51781;6;969;105813
"60-69";26893;25102;2;426;52423
"70-79";16480;17684;2;259;34425
"80-89";11698;20809;12;290;32809
"90-99";2151;7354;2;85;9592
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";319525;323166;43;7714;650448
