"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";21621;20338;1;524;42484
"'6-11";43067;38978;3;1471;83519
"'12-15";28546;26396;6;477;55425
"16-19";32733;31880;4;489;65106
"20-34";147538;136953;10;2450;286951
"35-59";216415;221183;14;3375;440987
"60-79";75798;74736;2;791;151327
"80+";23115;41976;2;433;65526
"Unbekannt";160;153;0;18;331
"Gesamt";588993;592593;42;10028;1191656
