"Meldelandkreis";"Insgesamt VOC";"B.1.1.7 (UK-Variante)";"B.1.351 (SüdAfrika-Variante)";"P.1 (Brazil-Variante)";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1007;866;9;0;132;3980;4987
"LK Altötting";1347;1321;1;1;24;4460;5807
"LK Amberg-Sulzbach";1057;639;0;0;418;3624;4681
"LK Ansbach";1404;1384;1;0;19;6577;7981
"LK Aschaffenburg";1177;1141;3;0;33;6569;7746
"LK Augsburg";1930;1703;105;16;106;8938;10868
"LK Bad Kissingen";719;665;22;0;32;2728;3447
"LK Bad Tölz-Wolfratshausen";879;837;0;0;42;3945;4824
"LK Bamberg";855;832;7;3;13;4379;5234
"LK Bayreuth";1090;71;0;0;1019;3717;4807
"LK Berchtesgadener Land";572;566;6;0;0;5051;5623
"LK Cham";2804;2733;1;2;68;4111;6915
"LK Coburg";900;886;2;1;11;3617;4517
"LK Dachau";1434;1402;1;0;31;6544;7978
"LK Deggendorf";574;125;0;0;449;6030;6604
"LK Dillingen a.d.Donau";669;633;19;0;17;2766;3435
"LK Dingolfing-Landau";1576;1554;7;0;15;3874;5450
"LK Donau-Ries";1369;1199;16;0;154;4248;5617
"LK Ebersberg";817;769;5;1;42;5287;6104
"LK Eichstätt";1049;829;1;2;217;3807;4856
"LK Erding";1175;1137;4;4;30;5556;6731
"LK Erlangen-Höchstadt";876;833;0;2;41;4286;5162
"LK Forchheim";994;987;0;0;7;3589;4583
"LK Freising";1565;1414;2;1;148;6440;8005
"LK Freyung-Grafenau";877;791;21;0;65;3857;4734
"LK Fürstenfeldbruck";1526;1491;4;2;29;7876;9402
"LK Fürth";892;873;6;0;13;4175;5067
"LK Garmisch-Partenkirchen";668;636;4;0;28;2776;3444
"LK Günzburg";1175;1040;84;1;50;5075;6250
"LK Haßberge";1073;1039;6;0;28;2820;3893
"LK Hof";1983;1947;4;0;32;4199;6182
"LK Kelheim";1360;1326;0;3;31;4259;5619
"LK Kitzingen";542;529;1;3;9;2493;3035
"LK Kronach";723;721;1;1;0;3227;3950
"LK Kulmbach";1332;1273;2;0;57;2655;3987
"LK Landsberg a.Lech";810;596;138;0;76;3134;3944
"LK Landshut";1669;1046;0;0;623;5989;7658
"LK Lichtenfels";915;909;1;0;5;2439;3354
"LK Lindau";672;637;13;0;22;2561;3233
"LK Main-Spessart";1078;1062;1;2;13;3433;4511
"LK Miesbach";618;601;1;0;16;3624;4242
"LK Miltenberg";1014;1000;2;0;12;4615;5629
"LK Mühldorf a.Inn";1578;1557;6;0;15;5204;6782
"LK München";2336;2170;3;0;163;12443;14779
"LK Neu-Ulm";1484;1354;65;2;63;5500;6984
"LK Neuburg-Schrobenhausen";869;839;1;2;27;3092;3961
"LK Neumarkt i.d.OPf.";556;491;0;0;65;5579;6135
"LK Neustadt a.d.Aisch-Bad Windsheim";869;827;0;2;40;3328;4197
"LK Neustadt a.d.Waldnaab";1107;69;1;0;1037;4030;5137
"LK Nürnberger Land";1143;1103;4;4;32;5851;6994
"LK Oberallgäu";1593;1449;56;0;88;4191;5784
"LK Ostallgäu";2244;2158;28;1;57;4569;6813
"LK Passau";1644;1545;31;2;66;10993;12637
"LK Pfaffenhofen a.d.Ilm";1274;1160;2;34;78;4185;5459
"LK Regen";996;981;1;0;14;4387;5383
"LK Regensburg";2066;2012;0;1;53;5713;7779
"LK Rhön-Grabfeld";828;823;0;3;2;2527;3355
"LK Rosenheim";2043;1932;1;3;107;11311;13354
"LK Roth";1069;1053;3;0;13;4448;5517
"LK Rottal-Inn";1363;1348;1;0;14;5778;7141
"LK Schwandorf";2916;2787;3;0;126;5108;8024
"LK Schweinfurt";989;960;22;2;5;3840;4829
"LK Starnberg";709;691;2;2;14;4217;4926
"LK Straubing-Bogen";1222;1185;1;1;35;3912;5134
"LK Tirschenreuth";1460;1435;0;0;25;3802;5262
"LK Traunstein";2340;2276;15;0;49;8278;10618
"LK Unterallgäu";1675;1595;5;2;73;4943;6618
"LK Weilheim-Schongau";737;728;4;0;5;4007;4744
"LK Weißenburg-Gunzenhausen";694;685;1;0;8;3027;3721
"LK Wunsiedel i.Fichtelgebirge";1471;1014;0;0;457;3480;4951
"LK Würzburg";917;907;1;1;8;3305;4222
"SK Amberg";456;249;0;0;207;1238;1694
"SK Ansbach";178;173;0;0;5;1560;1738
"SK Aschaffenburg";614;597;1;0;16;2568;3182
"SK Augsburg";2737;2240;55;6;436;14238;16975
"SK Bamberg";453;450;3;0;0;2482;2935
"SK Bayreuth";842;40;0;0;802;2546;3388
"SK Coburg";407;402;2;0;3;1790;2197
"SK Erlangen";564;545;0;0;19;3232;3796
"SK Fürth";1708;1682;2;1;23;5524;7232
"SK Hof";1364;1300;1;0;63;2485;3849
"SK Ingolstadt";1005;981;1;10;13;4721;5726
"SK Kaufbeuren";597;588;0;0;9;1649;2246
"SK Kempten";1053;983;23;0;47;1733;2786
"SK Landshut";792;421;0;0;371;3060;3852
"SK Memmingen";359;314;5;8;32;1640;1999
"SK München";11905;10122;23;10;1750;58077;69982
"SK Nürnberg";4563;4370;9;17;167;28072;32635
"SK Passau";355;341;0;0;14;2969;3324
"SK Regensburg";1796;1765;3;1;27;4848;6644
"SK Rosenheim";680;644;0;0;36;3113;3793
"SK Schwabach";324;321;0;0;3;1752;2076
"SK Schweinfurt";807;784;14;7;2;2001;2808
"SK Straubing";551;541;0;1;9;1707;2258
"SK Weiden i.d.OPf.";592;30;2;0;560;2077;2669
"SK Würzburg";908;898;3;0;7;3332;4240
