"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";15386;14204;1;642;30233
"'10-19";25847;25236;5;765;51853
"20-29";43587;40406;4;1385;85382
"30-39";37406;35102;8;1271;73787
"40-49";34792;37489;5;1170;73456
"50-59";41473;41870;7;932;84282
"60-69";21693;20196;3;411;42303
"70-79";14157;15133;6;275;29571
"80-89";10685;19184;18;315;30202
"90-99";2006;6885;5;105;9001
"100+";33;146;0;4;183
"Unbekannt";37;30;0;30;97
"Gesamt";247102;255881;62;7305;510350
