"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";16173;14965;1;662;31801
"'10-19";27158;26497;5;796;54456
"20-29";45480;42107;5;1413;89005
"30-39";39098;36660;8;1295;77061
"40-49";36440;39030;5;1204;76679
"50-59";43285;43409;7;967;87668
"60-69";22537;20982;3;427;43949
"70-79";14564;15547;6;280;30397
"80-89";10846;19426;18;318;30608
"90-99";2032;6955;5;107;9099
"100+";35;154;0;11;200
"Unbekannt";44;35;0;30;109
"Gesamt";257692;265767;63;7510;531032
