"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";12619;11822;0;410;24851
"'6-11";17357;15953;2;402;33714
"'12-15";13668;12587;2;342;26599
"16-19";20080;19924;3;381;40388
"20-34";94815;86058;5;2068;182946
"35-59";133450;133844;10;2743;270047
"60-79";48140;47031;1;646;95818
"80+";16298;31659;2;369;48328
"Unbekannt";21;26;0;6;53
"Gesamt";356448;358904;25;7367;722744
