"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1659;1042;11;0;469;137;4347;6006
"LK Altötting";2354;1564;2;3;763;22;4609;6963
"LK Amberg-Sulzbach";1373;805;0;1;215;352;3751;5124
"LK Ansbach";1805;1584;1;2;187;31;7352;9157
"LK Aschaffenburg";2038;1425;4;1;577;31;6872;8910
"LK Augsburg";3589;2166;114;23;1177;109;9441;13030
"LK Bad Kissingen";1062;830;36;0;146;50;2904;3966
"LK Bad Tölz-Wolfratshausen";1681;982;0;0;634;65;4435;6116
"LK Bamberg";1557;1140;17;3;392;5;4692;6249
"LK Bayreuth";1317;1184;0;0;133;0;3838;5155
"LK Berchtesgadener Land";1538;751;12;4;771;0;5948;7486
"LK Cham";3517;2966;3;5;489;54;4264;7781
"LK Coburg";1444;1245;3;0;186;10;3768;5212
"LK Dachau";2550;1603;2;1;911;33;7082;9632
"LK Deggendorf";1107;274;1;1;234;597;6635;7742
"LK Dillingen a.d.Donau";1582;1011;26;0;537;8;2872;4454
"LK Dingolfing-Landau";2585;1972;13;1;566;33;4029;6614
"LK Donau-Ries";2277;1445;45;1;633;153;4511;6788
"LK Ebersberg";1919;966;6;2;893;52;5478;7397
"LK Eichstätt";1779;1300;1;7;442;29;4205;5984
"LK Erding";2361;1302;6;12;1002;39;5822;8183
"LK Erlangen-Höchstadt";1254;953;2;7;243;49;4728;5982
"LK Forchheim";1525;1194;1;3;318;9;3731;5256
"LK Freising";2722;1772;9;8;834;99;6755;9477
"LK Freyung-Grafenau";1314;933;26;0;289;66;3976;5290
"LK Fürstenfeldbruck";2710;1776;11;0;884;39;8356;11066
"LK Fürth";1536;1116;8;0;397;15;4393;5929
"LK Garmisch-Partenkirchen";1100;848;4;2;203;43;2864;3964
"LK Günzburg";2422;1702;100;1;559;60;5346;7768
"LK Haßberge";1548;1312;18;0;188;30;2908;4456
"LK Hof";2315;2132;5;0;148;30;4320;6635
"LK Kelheim";2169;1568;1;3;563;34;4639;6808
"LK Kitzingen";1015;710;2;3;292;8;2646;3661
"LK Kronach";909;857;2;1;39;10;3535;4444
"LK Kulmbach";1632;1357;0;0;215;60;2730;4362
"LK Landsberg a.Lech";1351;728;136;0;391;96;3434;4785
"LK Landshut";2828;1630;0;1;812;385;6149;8977
"LK Lichtenfels";1332;1155;1;0;169;7;2499;3831
"LK Lindau";1216;823;13;0;361;19;2720;3936
"LK Main-Spessart";1609;1279;2;1;318;9;3522;5131
"LK Miesbach";1164;802;2;0;342;18;4122;5286
"LK Miltenberg";1914;1307;2;0;588;17;4817;6731
"LK Mühldorf a.Inn";2383;1681;6;10;666;20;5406;7789
"LK München";4294;2584;6;4;1527;173;13408;17702
"LK Neu-Ulm";2956;2153;70;3;709;21;6034;8990
"LK Neuburg-Schrobenhausen";1523;996;1;2;499;25;3322;4845
