"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";7160;6611;0;321;14092
"'10-19";13956;13355;0;408;27719
"20-29";23389;21252;2;722;45365
"30-39";19062;17770;2;686;37520
"40-49";17866;19137;3;610;37616
"50-59";21066;21138;2;437;42643
"60-69";10736;9838;3;193;20770
"70-79";7241;7562;0;113;14916
"80-89";5184;9227;1;77;14489
"90-99";981;3287;0;27;4295
"100+";20;84;0;4;108
"Unbekannt";93;93;0;41;227
"Gesamt";126754;129354;13;3639;259760
