"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";2131;1042;11;0;940;138;6523;8654
"LK Altötting";4689;1564;2;3;3098;22;5818;10507
"LK Amberg-Sulzbach";1835;805;0;1;677;352;4914;6749
"LK Ansbach";2817;1584;1;2;1191;39;10284;13101
"LK Aschaffenburg";2897;1425;4;1;1436;31;8065;10962
"LK Augsburg";5593;2167;114;23;3180;109;13332;18925
"LK Bad Kissingen";1335;830;37;0;421;47;4408;5743
"LK Bad Tölz-Wolfratshausen";3170;988;1;0;2112;69;7936;11106
"LK Bamberg";2147;1139;17;3;977;11;7109;9256
"LK Bayreuth";1771;1185;1;0;585;0;4926;6697
"LK Berchtesgadener Land";3718;751;12;4;2944;7;8774;12492
"LK Cham";4500;2966;3;5;1472;54;6854;11354
"LK Coburg";1975;1244;3;0;715;13;4496;6471
"LK Dachau";3560;1603;2;1;1921;33;9207;12767
"LK Deggendorf";2504;276;1;1;1625;601;9349;11853
"LK Dillingen a.d.Donau";2761;1011;26;0;1712;12;4302;7063
"LK Dingolfing-Landau";3429;1999;13;1;1384;32;7201;10630
"LK Donau-Ries";3412;1443;45;1;1769;154;6934;10346
"LK Ebersberg";4540;965;6;3;3514;52;6580;11120
"LK Eichstätt";3895;1301;1;7;2556;30;4637;8532
"LK Erding";4876;1302;6;12;3481;75;7022;11898
"LK Erlangen-Höchstadt";2029;954;2;8;1013;52;5997;8026
"LK Forchheim";2087;1198;1;3;844;41;5089;7176
"LK Freising";4502;1783;9;9;2601;100;8407;12909
"LK Freyung-Grafenau";2321;932;26;1;1296;66;6233;8554
"LK Fürstenfeldbruck";4172;1777;11;0;2335;49;10582;14754
"LK Fürth";2705;1116;8;0;1562;19;5330;8035
"LK Garmisch-Partenkirchen";1756;849;4;2;793;108;4187;5943
"LK Günzburg";3547;1702;100;1;1684;60;7787;11334
"LK Haßberge";2333;1312;18;0;971;32;3730;6063
"LK Hof";2881;2137;5;0;708;31;5226;8107
"LK Kelheim";3231;1569;3;3;1619;37;6193;9424
"LK Kitzingen";1677;710;3;3;942;19;3285;4962
"LK Kronach";1063;857;2;1;193;10;5096;6159
"LK Kulmbach";1956;1365;0;0;531;60;3266;5222
"LK Landsberg a.Lech";2198;728;136;1;1221;112;4708;6906
"LK Landshut";5187;1629;0;3;3170;385;8828;14015
"LK Lichtenfels";1556;1155;2;0;392;7;3369;4925
"LK Lindau";1626;823;13;0;771;19;3799;5425
"LK Main-Spessart";2232;1279;2;1;941;9;3987;6219
"LK Miesbach";1753;802;2;0;931;18;7475;9228
"LK Miltenberg";2716;1307;2;0;1390;17;5731;8447
"LK Mühldorf a.Inn";5629;1681;6;11;3910;21;7582;13211
"LK München";7169;2584;7;4;4399;175;16253;23422
"LK Neu-Ulm";4506;2150;70;4;2261;21;8319;12825
"LK Neuburg-Schrobenhausen";2857;996;1;2;1833;25;4164;7021
"LK Neumarkt i.d.OPf.";2092;595;1;0;1420;76;9541;11633
"LK Neustadt a.d.Aisch-Bad Windsheim";2026;1016;0;1;963;46;4349;6375
"LK Neustadt a.d.Waldnaab";1848;496;1;0;644;707;5573;7421
"LK Nürnberger Land";2864;1495;9;8;1312;40;7773;10637
"LK Oberallgäu";3277;1775;53;2;1345;102;8761;12038
"LK Ostallgäu";4190;2403;28;2;1689;68;8413;12603
"LK Passau";4224;1947;33;2;2214;28;16754;20978
"LK Pfaffenhofen a.d.Ilm";2965;1362;2;35;1490;76;6135;9100
"LK Regen";2363;1153;1;0;1194;15;6529;8892
"LK Regensburg";4151;2442;2;1;1628;78;9313;13464
"LK Rhön-Grabfeld";2400;938;5;3;1448;6;2957;5357
"LK Rosenheim";6863;2331;1;7;4417;107;19054;25917
"LK Roth";3008;1205;3;0;1777;23;5818;8826
"LK Rottal-Inn";2697;1651;13;11;1008;14;11176;13873
"LK Schwandorf";5313;3193;1;2;2045;72;6897;12210
"LK Schweinfurt";2217;1264;29;4;918;2;5481;7698
"LK Starnberg";2376;818;2;3;1530;23;5789;8165
"LK Straubing-Bogen";3082;1390;2;1;1647;42;6438;9520
"LK Tirschenreuth";1960;1564;0;0;383;13;4437;6397
"LK Traunstein";5674;2605;23;3;3000;43;15577;21251
"LK Unterallgäu";4440;2343;3;7;2071;16;8458;12898
"LK Weilheim-Schongau";2783;1091;5;0;1686;1;5733;8516
"LK Weißenburg-Gunzenhausen";1758;800;3;0;888;67;5450;7208
"LK Wunsiedel i.Fichtelgebirge";2419;1549;0;0;864;6;3841;6260
"LK Würzburg";2839;1056;7;4;1769;3;4246;7085
"SK Amberg";1045;319;0;1;545;180;1704;2749
"SK Ansbach";543;239;0;1;291;12;2281;2824
"SK Aschaffenburg";1695;759;1;1;916;18;3375;5070
"SK Augsburg";9525;3115;70;12;5780;548;17354;26879
"SK Bamberg";1293;582;5;0;696;10;3405;4698
"SK Bayreuth";1385;908;0;0;477;0;3250;4635
"SK Coburg";956;587;4;1;362;2;2141;3097
"SK Erlangen";1313;645;0;1;642;25;4458;5771
"SK Fürth";4312;2038;6;2;2231;35;6964;11276
"SK Hof";1853;1406;2;0;386;59;2850;4703
"SK Ingolstadt";3735;1404;1;12;2301;17;6728;10463
"SK Kaufbeuren";1183;700;0;0;467;16;2491;3674
"SK Kempten";2017;1262;28;0;663;64;3660;5677
"SK Landshut";2412;746;1;0;1430;235;3766;6178
"SK Memmingen";1032;521;5;9;467;30;2623;3655
"SK München";35241;12752;97;41;21516;835;81542;116783
"SK Nürnberg";10112;5899;18;4;3906;285;38409;48521
"SK Passau";889;401;0;0;482;6;3972;4861
"SK Regensburg";3944;2051;3;1;1835;54;8099;12043
"SK Rosenheim";2052;724;0;10;1282;36;4605;6657
"SK Schwabach";957;381;0;0;571;5;2348;3305
"SK Schweinfurt";1808;1068;25;9;704;2;3011;4819
"SK Straubing";1396;642;0;1;742;11;2588;3984
"SK Weiden i.d.OPf.";932;309;2;1;313;307;2588;3520
"SK Würzburg";2910;1136;4;0;1767;3;4182;7092
