"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";11502;10792;0;406;22700
"'6-11";15386;14105;2;383;29876
"'12-15";12254;11291;2;336;23883
"16-19";18672;18556;3;380;37611
"20-34";89716;81181;6;2156;173059
"35-59";127455;127724;10;2868;258057
"60-79";46939;45700;1;671;93311
"80+";15948;30961;2;377;47288
"Unbekannt";16;20;0;6;42
"Gesamt";337888;340330;26;7583;685827
