"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";13244;12355;0;409;26008
"'6-11";18877;17245;2;450;36574
"'12-15";14607;13423;2;339;28371
"16-19";20951;20784;3;379;42117
"20-34";98122;89215;6;2064;189407
"35-59";137588;138192;10;2731;278521
"60-79";49208;48130;1;649;97988
"80+";16624;32207;2;368;49201
"Unbekannt";22;26;0;6;54
"Gesamt";369243;371577;26;7395;748241
