"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"102134";"96190";"12";"2031";"200367"
"'6-11";"213129";"194003";"25";"5179";"412336"
"'12-15";"121304";"113523";"17";"2141";"236985"
"16-19";"124574";"127554";"22";"1942";"254092"
"20-34";"514306";"524007";"69";"8218";"1046600"
"35-59";"744050";"806507";"75";"11177";"1561809"
"60-79";"220750";"223430";"18";"2592";"446790"
"80+";"52744";"90209";"3";"813";"143769"
"unbekannt";"1241";"1258";"1";"115";"2615"
"Gesamt";"2094232";"2176681";"242";"34208";"4305363"
