"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1181;1035;10;0;0;136;4001;5182
"LK Altötting";1583;1555;2;3;0;23;4475;6058
"LK Amberg-Sulzbach";1156;737;0;1;0;418;3676;4832
"LK Ansbach";1593;1566;1;0;0;26;6818;8411
"LK Aschaffenburg";1437;1398;4;1;3;31;6558;7995
"LK Augsburg";2376;2129;114;22;3;108;9036;11412
"LK Bad Kissingen";886;812;34;0;0;40;2749;3635
"LK Bad Tölz-Wolfratshausen";1028;977;0;0;0;51;4028;5056
"LK Bamberg";1151;1119;14;3;1;14;4443;5594
"LK Bayreuth";1162;87;0;0;0;1075;3766;4928
"LK Berchtesgadener Land";760;743;11;4;2;0;5239;5999
"LK Cham";2953;2888;3;3;1;58;4169;7122
"LK Coburg";1236;1217;2;1;1;15;3650;4886
"LK Dachau";1625;1586;1;1;4;33;6593;8218
"LK Deggendorf";860;261;0;0;1;598;6123;6983
"LK Dillingen a.d.Donau";1032;1000;25;0;0;7;2734;3766
"LK Dingolfing-Landau";1973;1950;8;0;0;15;3833;5806
"LK Donau-Ries";1626;1433;40;0;0;153;4349;5975
"LK Ebersberg";1018;958;6;1;1;52;5339;6357
"LK Eichstätt";1323;1098;1;5;0;219;3735;5058
"LK Erding";1331;1286;4;9;1;31;5635;6966
"LK Erlangen-Höchstadt";994;943;1;2;0;48;4408;5402
"LK Forchheim";1141;1133;0;0;1;7;3639;4780
"LK Freising";1730;1577;6;3;4;140;6411;8141
"LK Freyung-Grafenau";1008;921;21;0;0;66;3905;4913
"LK Fürstenfeldbruck";1771;1722;9;0;3;37;7942;9713
"LK Fürth";1104;1082;8;0;0;14;4241;5345
"LK Garmisch-Partenkirchen";847;810;5;0;0;32;2794;3641
"LK Günzburg";1821;1661;98;1;3;58;5123;6944
"LK Haßberge";1304;1252;7;0;0;45;2765;4069
"LK Hof";2142;2104;6;0;0;32;4253;6395
"LK Kelheim";1555;1518;1;3;0;33;4378;5933
"LK Kitzingen";738;702;2;3;24;7;2543;3281
"LK Kronach";869;855;2;1;1;10;3351;4220
"LK Kulmbach";1399;1336;2;0;0;61;2679;4078
"LK Landsberg a.Lech";933;718;138;0;0;77;3159;4092
"LK Landshut";1958;1359;0;1;0;598;6088;8046
"LK Lichtenfels";1124;1117;1;0;0;6;2428;3552
"LK Lindau";818;783;13;0;3;19;2621;3439
"LK Main-Spessart";1277;1263;1;2;0;11;3459;4736
"LK Miesbach";804;785;1;0;0;18;3766;4570
"LK Miltenberg";1307;1288;2;0;0;17;4675;5982
"LK Mühldorf a.Inn";1712;1677;6;6;2;21;5248;6960
"LK München";2740;2570;5;2;3;160;12599;15339
"LK Neu-Ulm";2116;1983;70;3;0;60;5606;7722
"LK Neuburg-Schrobenhausen";1020;988;1;2;0;29;3145;4165
"LK Neumarkt i.d.OPf.";658;583;0;0;7;68;5896;6554
"LK Neustadt a.d.Aisch-Bad Windsheim";1016;973;0;0;0;43;3367;4383
"LK Neustadt a.d.Waldnaab";1195;70;1;0;0;1124;4055;5250
"LK Nürnberger Land";1483;1436;4;7;1;35;5946;7429
"LK Oberallgäu";1910;1759;53;1;7;90;4073;5983
"LK Ostallgäu";2486;2390;28;2;9;57;4663;7149
"LK Passau";2005;1904;35;2;0;64;10952;12957
"LK Pfaffenhofen a.d.Ilm";1468;1354;2;34;1;77;4173;5641
"LK Regen";1106;1073;1;0;9;23;4425;5531
"LK Regensburg";2493;2421;0;1;9;62;5794;8287
"LK Rhön-Grabfeld";934;923;5;3;0;3;2607;3541
"LK Rosenheim";2433;2317;1;6;2;107;11476;13909
"LK Roth";1222;1201;3;0;1;17;4456;5678
"LK Rottal-Inn";1691;1652;13;11;1;14;5854;7545
"LK Schwandorf";3213;3070;0;0;0;143;5159;8372
"LK Schweinfurt";1297;1261;29;3;2;2;3828;5125
"LK Starnberg";839;808;3;2;3;23;4250;5089
"LK Straubing-Bogen";1405;1366;1;1;1;36;3962;5367
"LK Tirschenreuth";1529;1510;0;0;0;19;3792;5321
"LK Traunstein";2659;2597;16;0;3;43;8384;11043
"LK Unterallgäu";2348;2334;5;3;0;6;4883;7231
"LK Weilheim-Schongau";1086;1078;5;0;0;3;4063;5149
"LK Weißenburg-Gunzenhausen";814;776;1;0;4;33;3106;3920
"LK Wunsiedel i.Fichtelgebirge";1531;1517;0;0;0;14;3493;5024
"LK Würzburg";1057;1031;5;3;10;8;3365;4422
"SK Amberg";496;286;0;0;1;209;1251;1747
"SK Ansbach";238;232;0;0;0;6;1625;1863
"SK Aschaffenburg";770;748;1;1;2;18;2705;3475
"SK Augsburg";3658;3057;68;11;2;520;14255;17913
"SK Bamberg";577;568;3;0;4;2;2512;3089
"SK Bayreuth";889;57;0;0;0;832;2578;3467
"SK Coburg";583;577;3;0;0;3;1816;2399
"SK Erlangen";662;640;0;0;2;20;3329;3991
"SK Fürth";2045;2014;2;2;0;27;5657;7702
"SK Hof";1446;1382;1;0;0;63;2513;3959
"SK Ingolstadt";1425;1396;1;10;1;17;4747;6172
"SK Kaufbeuren";709;701;0;0;0;8;1678;2387
"SK Kempten";1344;1266;27;0;0;51;1944;3288
"SK Landshut";957;600;1;0;0;356;3128;4085
"SK Memmingen";564;520;5;9;0;30;1692;2256
"SK München";14090;12284;49;23;70;1664;59249;73339
"SK Nürnberg";5932;5687;11;18;4;212;28636;34568
