"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1296;1042;10;0;107;137;4141;5437
"LK Altötting";1786;1564;2;3;195;22;4571;6357
"LK Amberg-Sulzbach";1232;805;0;1;74;352;3708;4940
"LK Ansbach";1653;1579;1;2;43;28;6948;8601
"LK Aschaffenburg";1637;1425;4;1;176;31;6671;8308
"LK Augsburg";2737;2165;114;23;329;106;9162;11899
"LK Bad Kissingen";917;821;35;0;11;50;2813;3730
"LK Bad Tölz-Wolfratshausen";1188;982;0;0;147;59;4182;5370
"LK Bamberg";1326;1142;17;3;159;5;4525;5851
"LK Bayreuth";1207;1165;0;0;42;0;3811;5018
"LK Berchtesgadener Land";959;751;12;4;192;0;5481;6440
"LK Cham";3111;2966;3;5;83;54;4132;7243
"LK Coburg";1296;1227;3;0;53;13;3660;4956
"LK Dachau";1941;1603;2;1;302;33;6752;8693
"LK Deggendorf";883;274;1;1;10;597;6350;7233
"LK Dillingen a.d.Donau";1304;1011;26;0;259;8;2813;4117
"LK Dingolfing-Landau";2235;1964;13;1;235;22;3942;6177
"LK Donau-Ries";1859;1445;45;1;215;153;4409;6268
"LK Ebersberg";1266;965;6;2;239;54;5408;6674
"LK Eichstätt";1439;1300;1;7;102;29;3934;5373
"LK Erding";1599;1302;6;12;248;31;5710;7309
"LK Erlangen-Höchstadt";1120;951;2;7;112;48;4528;5648
"LK Forchheim";1288;1194;1;3;83;7;3648;4936
"LK Freising";2092;1643;9;8;312;120;6680;8772
"LK Freyung-Grafenau";1058;933;26;0;33;66;3920;4978
"LK Fürstenfeldbruck";2124;1776;11;0;300;37;8114;10238
"LK Fürth";1236;1116;8;0;98;14;4275;5511
"LK Garmisch-Partenkirchen";931;829;4;1;63;34;2806;3737
"LK Günzburg";2046;1702;100;1;183;60;5167;7213
"LK Haßberge";1401;1312;18;0;41;30;2783;4184
"LK Hof";2189;2131;5;0;23;30;4271;6460
"LK Kelheim";1731;1568;1;3;127;32;4433;6164
"LK Kitzingen";836;710;2;3;113;8;2586;3422
"LK Kronach";874;857;2;1;4;10;3419;4293
"LK Kulmbach";1459;1356;0;0;43;60;2678;4137
"LK Landsberg a.Lech";1035;726;135;0;98;76;3285;4320
"LK Landshut";2242;1630;0;1;227;384;6071;8313
"LK Lichtenfels";1198;1155;1;0;35;7;2452;3650
"LK Lindau";956;823;13;0;101;19;2616;3572
"LK Main-Spessart";1448;1279;2;1;156;10;3480;4928
"LK Miesbach";894;802;2;0;72;18;3849;4743
"LK Miltenberg";1535;1307;2;0;209;17;4736;6271
"LK Mühldorf a.Inn";1922;1681;6;10;205;20;5315;7237
"LK München";3108;2586;6;3;340;173;13002;16110
"LK Neu-Ulm";2434;2155;70;3;186;20;5624;8058
"LK Neuburg-Schrobenhausen";1192;996;1;2;168;25;3240;4432
"LK Neumarkt i.d.OPf.";789;593;0;0;127;69;6021;6810
"LK Neustadt a.d.Aisch-Bad Windsheim";1121;1015;0;0;63;43;3372;4493
"LK Neustadt a.d.Waldnaab";1271;496;1;0;67;707;4090;5361
"LK Nürnberger Land";1652;1494;5;7;110;36;5991;7643
"LK Oberallgäu";2087;1775;53;2;170;87;4122;6209
"LK Ostallgäu";2697;2406;28;2;199;62;4766;7463
"LK Passau";2115;1947;33;2;107;26;10990;13105
"LK Pfaffenhofen a.d.Ilm";1611;1361;2;35;137;76;4277;5888
"LK Regen";1277;1152;1;0;109;15;4408;5685
"LK Regensburg";2756;2444;0;1;247;64;5886;8642
"LK Rhön-Grabfeld";993;937;5;3;45;3;2607;3600
"LK Rosenheim";2852;2331;1;7;406;107;11701;14553
"LK Roth";1331;1206;3;0;105;17;4502;5833
"LK Rottal-Inn";1848;1656;13;11;154;14;5948;7796
"LK Schwandorf";3465;3194;0;0;199;72;5191;8656
"LK Schweinfurt";1352;1266;29;4;51;2;3990;5342
"LK Starnberg";1069;819;2;3;222;23;4345;5414
"LK Straubing-Bogen";1555;1389;1;1;128;36;3984;5539
"LK Tirschenreuth";1623;1564;0;0;46;13;3781;5404
"LK Traunstein";2938;2607;23;3;262;43;8505;11443
"LK Unterallgäu";2600;2344;3;7;230;16;4988;7588
"LK Weilheim-Schongau";1330;1091;5;0;233;1;4133;5463
"LK Weißenburg-Gunzenhausen";935;800;3;0;65;67;3128;4063
"LK Wunsiedel i.Fichtelgebirge";1617;1549;0;0;62;6;3490;5107
"LK Würzburg";1253;1055;7;3;185;3;3417;4670
"SK Amberg";592;317;0;0;95;180;1282;1874
"SK Ansbach";267;239;0;1;18;9;1684;1951
"SK Aschaffenburg";927;759;1;1;148;18;2766;3693
"SK Augsburg";4671;3116;70;12;926;547;14408;19079
"SK Bamberg";770;580;4;0;182;4;2565;3335
"SK Bayreuth";947;891;0;0;56;0;2628;3575
"SK Coburg";621;585;3;0;32;1;1833;2454
"SK Erlangen";770;644;0;1;102;23;3412;4182
"SK Fürth";2282;2037;6;2;209;28;5721;8003
"SK Hof";1511;1405;2;0;46;58;2527;4038
"SK Ingolstadt";1728;1404;1;10;296;17;4826;6554
"SK Kaufbeuren";781;701;0;0;71;9;1723;2504
"SK Kempten";1418;1266;27;0;74;51;1989;3407
"SK Landshut";1141;745;1;0;160;235;3125;4266
"SK Memmingen";630;521;5;9;65;30;1763;2393
"SK München";16192;12728;87;39;2606;732;61698;77890
"SK Nürnberg";6769;5899;16;4;620;230;29110;35879
"SK Passau";444;401;0;0;37;6;3006;3450
"SK Regensburg";2399;2051;4;1;305;38;5074;7473
"SK Rosenheim";969;724;0;10;199;36;3253;4222
"SK Schwabach";435;380;0;0;52;3;1787;2222
"SK Schweinfurt";1158;1071;25;9;50;3;2210;3368
"SK Straubing";728;642;0;1;74;11;1742;2470
"SK Weiden i.d.OPf.";679;309;2;1;60;307;2119;2798
"SK Würzburg";1423;1138;4;0;279;2;3489;4912
