"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"3";"0";"0";"5"
"'6-11";"1";"2";"0";"0";"3"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"1";"0";"0";"2"
"20-34";"25";"23";"0";"0";"48"
"35-59";"743";"303";"0";"2";"1048"
"60-79";"3996";"2140";"0";"22";"6158"
"80+";"6078";"7441";"0";"60";"13579"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"10846";"9914";"0";"84";"20844"
