"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";48070;45387;1;995;94453
"'6-11";99260;88384;4;2527;190175
"'12-15";56700;51833;7;894;109434
"16-19";58218;57805;5;828;116856
"20-34";247362;241175;19;3872;492428
"35-59";358106;372950;20;5067;736143
"60-79";105469;103963;4;1066;210502
"80+";28504;51194;2;496;80196
"Unbekannt";363;393;1;37;794
"Gesamt";1002052;1013084;63;15782;2030981
