"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1649;1042;11;0;362;137;4219;5868
"LK Altötting";2279;1564;2;3;607;22;4576;6855
"LK Amberg-Sulzbach";1365;805;0;1;163;352;3727;5092
"LK Ansbach";1884;1579;1;2;138;31;7143;9027
"LK Aschaffenburg";2033;1425;4;1;488;31;6762;8795
"LK Augsburg";3504;2166;114;23;893;106;9283;12787
"LK Bad Kissingen";1109;830;36;0;133;40;2801;3910
"LK Bad Tölz-Wolfratshausen";1611;982;0;0;434;66;4320;5931
"LK Bamberg";1545;1140;17;3;305;5;4616;6161
"LK Bayreuth";1284;1166;0;0;99;0;3819;5103
"LK Berchtesgadener Land";1514;751;12;4;561;0;5706;7220
"LK Cham";3429;2966;3;5;262;54;4163;7592
"LK Coburg";1440;1244;3;0;161;10;3686;5126
"LK Dachau";2500;1603;2;1;700;33;6928;9428
"LK Deggendorf";1056;274;1;1;150;597;6589;7645
"LK Dillingen a.d.Donau";1545;1011;26;0;436;8;2841;4386
"LK Dingolfing-Landau";2545;1969;13;1;468;34;3961;6506
"LK Donau-Ries";2224;1445;45;1;439;153;4446;6670
"LK Ebersberg";1821;966;6;2;677;52;5433;7254
"LK Eichstätt";1731;1300;1;7;283;29;4157;5888
"LK Erding";2214;1302;6;12;729;39;5786;8000
"LK Erlangen-Höchstadt";1281;951;2;7;213;49;4637;5918
"LK Forchheim";1507;1194;1;3;251;7;3678;5185
"LK Freising";2655;1768;9;8;653;99;6671;9326
"LK Freyung-Grafenau";1270;933;26;0;167;66;3931;5201
"LK Fürstenfeldbruck";2656;1776;11;0;709;39;8241;10897
"LK Fürth";1505;1116;8;0;269;14;4326;5831
"LK Garmisch-Partenkirchen";1080;848;4;2;163;43;2848;3928
"LK Günzburg";2423;1702;100;1;465;60;5271;7694
"LK Haßberge";1535;1312;18;0;129;30;2872;4407
"LK Hof";2300;2132;5;0;99;30;4290;6590
"LK Kelheim";2157;1568;1;3;474;34;4587;6744
"LK Kitzingen";994;710;2;3;241;8;2610;3604
"LK Kronach";927;857;2;1;35;10;3446;4373
"LK Kulmbach";1573;1356;0;0;138;60;2697;4270
"LK Landsberg a.Lech";1281;728;136;0;278;98;3330;4611
"LK Landshut";2754;1630;0;1;623;385;6108;8862
"LK Lichtenfels";1329;1155;1;0;126;7;2468;3797
"LK Lindau";1227;823;13;0;282;19;2644;3871
"LK Main-Spessart";1592;1279;2;1;270;9;3497;5089
"LK Miesbach";1156;802;2;0;186;18;3974;5130
"LK Miltenberg";1877;1307;2;0;497;17;4775;6652
"LK Mühldorf a.Inn";2293;1681;6;10;489;20;5370;7663
"LK München";4117;2584;6;4;991;173;13249;17366
"LK Neu-Ulm";2949;2153;70;3;527;21;5888;8837
"LK Neuburg-Schrobenhausen";1471;996;1;2;354;25;3293;4764
"LK Neumarkt i.d.OPf.";1194;593;0;0;338;70;6158;7352
"LK Neustadt a.d.Aisch-Bad Windsheim";1300;1015;0;0;174;42;3431;4731
"LK Neustadt a.d.Waldnaab";1330;496;1;0;109;707;4114;5444
"LK Nürnberger Land";1814;1494;5;7;212;36;6154;7968
"LK Oberallgäu";2547;1774;53;2;518;86;4182;6729
"LK Ostallgäu";3138;2403;28;2;496;59;4862;8000
"LK Passau";2492;1947;33;2;377;27;11026;13518
"LK Pfaffenhofen a.d.Ilm";1972;1361;2;35;418;76;4342;6314
"LK Regen";1454;1153;1;1;197;15;4409;5863
"LK Regensburg";3119;2445;0;1;514;64;6008;9127
"LK Rhön-Grabfeld";1143;938;5;3;135;3;2678;3821
"LK Rosenheim";4164;2331;1;7;1276;107;12137;16301
"LK Roth";1657;1206;3;0;308;17;4610;6267
"LK Rottal-Inn";2126;1656;13;11;355;14;6060;8186
"LK Schwandorf";3747;3193;1;2;401;72;5247;8994
"LK Schweinfurt";1563;1264;29;4;204;2;4123;5686
"LK Starnberg";1457;818;2;3;531;23;4419;5876
"LK Straubing-Bogen";1813;1389;1;1;315;38;4027;5840
"LK Tirschenreuth";1670;1564;0;0;82;13;3781;5451
"LK Traunstein";4113;2605;23;3;1036;43;8624;12737
"LK Unterallgäu";3214;2344;3;7;691;16;5067;8281
"LK Weilheim-Schongau";1698;1091;5;0;470;1;4175;5873
"LK Weißenburg-Gunzenhausen";1160;800;3;0;216;67;3218;4378
"LK Wunsiedel i.Fichtelgebirge";1721;1549;0;0;129;6;3491;5212
"LK Würzburg";1612;1055;7;3;476;3;3456;5068
"SK Amberg";756;319;0;0;212;180;1301;2057
"SK Ansbach";369;239;0;1;82;10;1735;2104
"SK Aschaffenburg";1190;759;1;1;340;18;2825;4015
"SK Augsburg";6201;3115;70;12;2156;547;14522;20723
"SK Bamberg";956;580;4;0;327;6;2611;3567
"SK Bayreuth";1067;893;0;0;116;0;2679;3746
"SK Coburg";702;587;4;0;95;1;1844;2546
"SK Erlangen";953;644;0;1;211;23;3537;4490
"SK Fürth";2702;2037;6;2;499;29;5797;8499
"SK Hof";1620;1406;2;0;130;58;2561;4181
"SK Ingolstadt";2378;1404;1;11;786;17;5037;7415
"SK Kaufbeuren";954;700;0;0;203;11;1759;2713
"SK Kempten";1664;1262;27;0;268;50;1997;3661
"SK Landshut";1465;745;1;0;407;235;3135;4600
"SK Memmingen";763;521;5;9;169;30;1824;2587
"SK München";21770;12739;87;40;6175;745;63447;85217
"SK Nürnberg";8393;5898;16;4;1591;241;29773;38166
"SK Passau";575;401;0;0;124;7;3042;3617
"SK Regensburg";2820;2051;3;1;579;38;5231;8051
"SK Rosenheim";1335;724;0;10;500;36;3341;4676
"SK Schwabach";558;380;0;0;131;4;1840;2398
"SK Schweinfurt";1342;1068;25;9;172;2;2275;3617
"SK Straubing";881;642;0;1;197;11;1751;2632
"SK Weiden i.d.OPf.";742;309;2;1;109;307;2139;2881
"SK Würzburg";1870;1137;4;0;611;2;3531;5401
