"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";11875;11130;0;413;23418
"'6-11";15923;14615;2;390;30930
"'12-15";12681;11683;2;339;24705
"16-19";19172;19052;3;384;38611
"20-34";91584;82953;5;2156;176698
"35-59";129535;129899;10;2871;262315
"60-79";47329;46123;1;665;94118
"80+";16066;31164;2;386;47618
"Unbekannt";17;20;0;7;44
"Gesamt";344182;346639;25;7611;698457
