"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22744;21105;1;697;44547
"'10-19";36441;34952;5;855;72253
"20-29";57418;52236;4;1389;111047
"30-39";49364;46142;5;1305;96816
"40-49";45860;48206;4;1168;95238
"50-59";53361;52064;5;917;106347
"60-69";27001;25198;1;400;52600
"70-79";16526;17732;0;242;34500
"80-89";11747;20871;2;266;32886
"90-99";2159;7375;0;78;9612
"100+";22;150;0;4;176
"Unbekannt";19;20;0;6;45
"Gesamt";322662;326051;27;7327;656067
