"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1172;1026;10;0;0;136;4006;5178
"LK Altötting";1577;1546;2;1;0;28;4477;6054
"LK Amberg-Sulzbach";1144;725;0;1;0;418;3687;4831
"LK Ansbach";1600;1571;1;0;0;28;6709;8309
"LK Aschaffenburg";1429;1391;4;1;2;31;6555;7984
"LK Augsburg";2294;2055;112;19;3;105;9098;11392
"LK Bad Kissingen";885;811;34;0;0;40;2752;3637
"LK Bad Tölz-Wolfratshausen";1028;979;0;0;0;49;4024;5052
"LK Bamberg";1130;1101;14;3;0;12;4450;5580
"LK Bayreuth";1161;88;0;0;0;1073;3765;4926
"LK Berchtesgadener Land";756;740;10;4;2;0;5227;5983
"LK Cham";2945;2880;3;3;0;59;4170;7115
"LK Coburg";1230;1211;2;1;1;15;3650;4880
"LK Dachau";1620;1581;1;1;3;34;6592;8212
"LK Deggendorf";846;254;0;0;1;591;6125;6971
"LK Dillingen a.d.Donau";1011;976;25;0;0;10;2753;3764
"LK Dingolfing-Landau";1958;1935;8;0;0;15;3831;5789
"LK Donau-Ries";1619;1429;38;0;0;152;4352;5971
"LK Ebersberg";1003;946;6;1;0;50;5353;6356
"LK Eichstätt";1312;1088;1;3;0;220;3732;5044
"LK Erding";1329;1283;4;7;0;35;5628;6957
"LK Erlangen-Höchstadt";988;937;1;2;0;48;4407;5395
"LK Forchheim";1128;1121;0;0;0;7;3645;4773
"LK Freising";1684;1519;5;3;2;155;6409;8093
"LK Freyung-Grafenau";1006;918;21;0;0;67;3905;4911
"LK Fürstenfeldbruck";1765;1719;9;0;0;37;7940;9705
"LK Fürth";1099;1077;8;0;0;14;4239;5338
"LK Garmisch-Partenkirchen";835;801;4;0;0;30;2789;3624
"LK Günzburg";1794;1634;98;1;3;58;5128;6922
"LK Haßberge";1292;1243;7;0;0;42;2773;4065
"LK Hof";2137;2099;6;0;0;32;4252;6389
"LK Kelheim";1552;1515;1;3;0;33;4375;5927
"LK Kitzingen";725;698;1;3;16;7;2552;3277
"LK Kronach";868;854;2;1;1;10;3345;4213
"LK Kulmbach";1399;1336;2;0;0;61;2676;4075
"LK Landsberg a.Lech";928;715;138;0;0;75;3157;4085
"LK Landshut";1954;1353;0;1;0;600;6089;8043
"LK Lichtenfels";1113;1108;1;0;0;4;2426;3539
"LK Lindau";779;747;13;0;0;19;2633;3412
"LK Main-Spessart";1274;1259;1;2;0;12;3454;4728
"LK Miesbach";790;772;1;0;0;17;3757;4547
"LK Miltenberg";1298;1279;2;0;0;17;4663;5961
"LK Mühldorf a.Inn";1709;1675;6;4;2;22;5246;6955
"LK München";2728;2559;5;1;3;160;12562;15290
"LK Neu-Ulm";2082;1940;70;3;0;69;5607;7689
"LK Neuburg-Schrobenhausen";1017;986;1;2;0;28;3146;4163
"LK Neumarkt i.d.OPf.";653;578;0;0;7;68;5895;6548
"LK Neustadt a.d.Aisch-Bad Windsheim";1016;974;0;0;0;42;3366;4382
"LK Neustadt a.d.Waldnaab";1184;70;1;0;0;1113;4050;5234
"LK Nürnberger Land";1470;1424;4;6;1;35;5945;7415
"LK Oberallgäu";1895;1750;53;0;1;91;4081;5976
"LK Ostallgäu";2475;2387;28;2;1;57;4652;7127
"LK Passau";1990;1890;34;2;0;64;10955;12945
"LK Pfaffenhofen a.d.Ilm";1467;1354;2;34;0;77;4173;5640
"LK Regen";1104;1074;1;0;9;20;4428;5532
"LK Regensburg";2471;2400;0;1;9;61;5802;8273
"LK Rhön-Grabfeld";934;923;5;3;0;3;2598;3532
"LK Rosenheim";2412;2295;1;6;2;108;11450;13862
"LK Roth";1220;1200;3;0;0;17;4457;5677
"LK Rottal-Inn";1688;1648;23;2;1;14;5847;7535
"LK Schwandorf";3210;3071;0;0;0;139;5158;8368
"LK Schweinfurt";1287;1255;27;3;0;2;3821;5108
"LK Starnberg";821;794;3;2;1;21;4262;5083
"LK Straubing-Bogen";1403;1364;1;1;1;36;3963;5366
"LK Tirschenreuth";1524;1504;0;0;0;20;3795;5319
"LK Traunstein";2596;2535;15;0;3;43;8428;11024
"LK Unterallgäu";2258;2173;5;3;0;77;5017;7275
"LK Weilheim-Schongau";1050;1041;5;0;0;4;4095;5145
"LK Weißenburg-Gunzenhausen";790;767;1;0;0;22;3120;3910
"LK Wunsiedel i.Fichtelgebirge";1531;1516;0;0;0;15;3491;5022
"LK Würzburg";1041;1023;5;1;4;8;3362;4403
"SK Amberg";487;280;0;0;0;207;1254;1741
"SK Ansbach";236;230;0;0;0;6;1603;1839
"SK Aschaffenburg";761;740;1;1;1;18;2705;3466
"SK Augsburg";3595;3013;63;9;1;509;14264;17859
"SK Bamberg";564;559;3;0;0;2;2502;3066
"SK Bayreuth";889;57;0;0;0;832;2577;3466
"SK Coburg";580;574;3;0;0;3;1816;2396
"SK Erlangen";652;630;0;0;2;20;3329;3981
"SK Fürth";2036;2005;2;2;0;27;5645;7681
"SK Hof";1444;1380;1;0;0;63;2513;3957
"SK Ingolstadt";1416;1387;1;10;1;17;4734;6150
"SK Kaufbeuren";705;697;0;0;0;8;1674;2379
"SK Kempten";1344;1264;27;0;0;53;1948;3292
"SK Landshut";952;593;1;0;0;358;3125;4077
"SK Memmingen";558;514;5;9;0;30;1692;2250
"SK München";13968;12186;45;19;44;1674;59172;73140
"SK Nürnberg";5854;5615;10;18;0;211;28611;34465
"SK Passau";402;391;0;0;0;11;2992;3394
"SK Regensburg";2075;2035;3;1;1;35;4901;6976
"SK Rosenheim";761;717;0;5;1;38;3170;3931
"SK Schwabach";382;379;0;0;0;3;1763;2145
"SK Schweinfurt";1077;1041;25;8;0;3;2045;3122
"SK Straubing";652;640;0;1;0;11;1727;2379
"SK Weiden i.d.OPf.";616;30;2;0;0;584;2077;2693
"SK Würzburg";1117;1104;4;0;2;7;3384;4501
