"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1881;1042;11;0;689;139;4886;6767
"LK Altötting";3048;1564;2;3;1457;22;4925;7973
"LK Amberg-Sulzbach";1627;805;0;1;469;352;4044;5671
"LK Ansbach";2126;1583;1;2;505;35;8091;10217
"LK Aschaffenburg";2390;1425;4;1;929;31;7100;9490
"LK Augsburg";4274;2166;114;23;1861;110;10389;14663
"LK Bad Kissingen";1185;830;36;0;274;45;3236;4421
"LK Bad Tölz-Wolfratshausen";2510;982;1;0;1458;69;5101;7611
"LK Bamberg";1796;1138;17;3;631;7;4920;6716
"LK Bayreuth";1498;1184;1;0;313;0;4011;5509
"LK Berchtesgadener Land";2223;751;12;4;1449;7;7030;9253
"LK Cham";4155;2966;3;5;1127;54;4869;9024
"LK Coburg";1717;1244;3;0;456;14;3847;5564
"LK Dachau";3165;1603;2;1;1526;33;7406;10571
"LK Deggendorf";1707;274;1;1;834;597;7066;8773
"LK Dillingen a.d.Donau";1951;1011;26;0;902;12;3230;5181
"LK Dingolfing-Landau";3066;1989;13;1;1034;29;4723;7789
"LK Donau-Ries";2680;1444;45;1;1036;154;5019;7699
"LK Ebersberg";2770;965;6;2;1745;52;5695;8465
"LK Eichstätt";2199;1300;1;7;862;29;4456;6655
"LK Erding";3116;1302;6;12;1742;54;6105;9221
"LK Erlangen-Höchstadt";1630;953;2;7;618;50;4983;6613
"LK Forchheim";1870;1194;1;3;659;13;3911;5781
"LK Freising";3387;1780;9;10;1489;99;7234;10621
"LK Freyung-Grafenau";1674;933;26;1;648;66;4300;5974
"LK Fürstenfeldbruck";3141;1776;11;0;1309;45;8703;11844
"LK Fürth";2020;1116;8;0;880;16;4566;6586
"LK Garmisch-Partenkirchen";1439;849;4;2;512;72;3019;4458
"LK Günzburg";3035;1702;100;1;1172;60;5780;8815
"LK Haßberge";1825;1312;18;0;463;32;3041;4866
"LK Hof";2572;2137;5;0;400;30;4511;7083
"LK Kelheim";2653;1568;3;3;1043;36;4961;7614
"LK Kitzingen";1327;710;2;3;576;36;2794;4121
"LK Kronach";1042;857;2;1;172;10;3841;4883
"LK Kulmbach";1799;1361;0;0;378;60;2814;4613
"LK Landsberg a.Lech";1698;728;136;0;714;120;3765;5463
"LK Landshut";3515;1630;0;1;1499;385;6626;10141
"LK Lichtenfels";1481;1155;2;0;317;7;2620;4101
"LK Lindau";1426;823;13;0;571;19;2882;4308
"LK Main-Spessart";1833;1279;2;1;542;9;3635;5468
"LK Miesbach";1622;802;2;0;800;18;5048;6670
"LK Miltenberg";2290;1307;2;0;963;18;4992;7282
"LK Mühldorf a.Inn";3661;1681;6;10;1944;20;6019;9680
"LK München";5238;2584;7;5;2467;175;14105;19343
"LK Neu-Ulm";3620;2153;70;3;1373;21;6902;10522
"LK Neuburg-Schrobenhausen";1826;996;1;2;802;25;3511;5337
"LK Neumarkt i.d.OPf.";1771;594;0;0;1101;76;6928;8699
"LK Neustadt a.d.Aisch-Bad Windsheim";1689;1016;0;1;629;43;3728;5417
"LK Neustadt a.d.Waldnaab";1524;497;1;0;319;707;4466;5990
"LK Nürnberger Land";2249;1495;7;7;699;41;6528;8777
"LK Oberallgäu";2930;1775;53;2;999;101;5318;8248
"LK Ostallgäu";3876;2403;28;2;1381;62;5557;9433
"LK Passau";3204;1947;33;2;1194;28;12249;15453
"LK Pfaffenhofen a.d.Ilm";2426;1361;2;35;952;76;4746;7172
"LK Regen";1802;1153;1;0;633;15;5050;6852
"LK Regensburg";3913;2444;2;1;1399;67;6838;10751
"LK Rhön-Grabfeld";1430;938;5;3;480;4;2839;4269
"LK Rosenheim";5764;2331;1;7;3318;107;14365;20129
"LK Roth";2121;1205;3;0;895;18;4832;6953
"LK Rottal-Inn";2605;1656;13;11;911;14;6996;9601
"LK Schwandorf";4284;3193;1;2;1016;72;5645;9929
"LK Schweinfurt";1813;1264;29;4;514;2;4542;6355
"LK Starnberg";1877;818;2;3;1031;23;4672;6549
"LK Straubing-Bogen";2560;1390;1;1;1127;41;4854;7414
"LK Tirschenreuth";1744;1564;0;0;167;13;3896;5640
"LK Traunstein";5353;2605;23;3;2679;43;10801;16154
"LK Unterallgäu";3818;2343;3;7;1449;16;5710;9528
"LK Weilheim-Schongau";2238;1091;5;0;1141;1;4504;6742
"LK Weißenburg-Gunzenhausen";1535;800;3;0;665;67;3757;5292
"LK Wunsiedel i.Fichtelgebirge";1893;1549;0;0;338;6;3583;5476
"LK Würzburg";2027;1055;7;3;959;3;3713;5740
"SK Amberg";975;319;0;1;475;180;1432;2407
"SK Ansbach";413;239;0;1;162;11;1882;2295
"SK Aschaffenburg";1338;759;1;1;559;18;2996;4334
"SK Augsburg";7662;3118;70;12;3914;548;15273;22935
"SK Bamberg";1136;582;5;0;543;6;2768;3904
"SK Bayreuth";1188;909;0;0;279;0;2785;3973
"SK Coburg";794;587;4;1;198;4;1918;2712
"SK Erlangen";1089;645;0;1;418;25;3812;4901
"SK Fürth";3377;2038;6;2;1303;28;6107;9484
"SK Hof";1716;1406;2;0;249;59;2612;4328
"SK Ingolstadt";2929;1404;1;10;1497;17;5567;8496
"SK Kaufbeuren";1090;700;0;0;379;11;1875;2965
"SK Kempten";1866;1262;28;0;514;62;2428;4294
"SK Landshut";1860;745;1;0;879;235;3255;5115
