"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";21940;20371;2;837;43150
"'10-19";34966;33585;7;985;69543
"20-29";55547;50614;5;1587;107753
"30-39";48113;45046;9;1465;94633
"40-49";45001;47224;6;1330;93561
"50-59";52576;51345;7;1071;104999
"60-69";26673;24896;3;461;52033
"70-79";16410;17588;6;291;34295
"80-89";11646;20706;18;327;32697
"90-99";2144;7321;5;107;9577
"100+";25;152;0;4;181
"Unbekannt";26;29;0;9;64
"Gesamt";315067;318877;68;8474;642486
