"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";5518;5149;0;230;10897
"'10-19";11098;10511;0;301;21910
"20-29";19475;17583;1;544;37603
"30-39";15617;14212;1;498;30328
"40-49";14440;15349;4;432;30225
"50-59";17098;16774;2;307;34181
"60-69";8611;7865;3;144;16623
"70-79";5800;5857;0;72;11729
"80-89";3903;6696;0;45;10644
"90-99";688;2280;0;15;2983
"100+";14;58;0;1;73
"Unbekannt";74;56;0;215;345
"Gesamt";102336;102390;11;2804;207541
