"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"74083";"69584";"8";"1501";"145176"
"'6-11";"153304";"138137";"17";"3716";"295174"
"'12-15";"86156";"79295";"15";"1472";"166938"
"16-19";"85798";"86069";"17";"1253";"173137"
"20-34";"357186";"359180";"45";"5405";"721816"
"35-59";"518384";"553150";"56";"7268";"1078858"
"60-79";"146332";"146020";"12";"1494";"293858"
"80+";"37045";"66232";"3";"567";"103847"
"unbekannt";"811";"838";"1";"78";"1728"
"Gesamt";"1459099";"1498505";"174";"22754";"2980532"
