"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";9600;8903;2;441;18946
"'10-19";18073;17632;1;543;36249
"20-29";30664;28598;5;1065;60332
"30-39";25547;24426;6;1007;50986
"40-49";23776;26259;6;893;50934
"50-59";28575;29539;5;685;58804
"60-69";14949;13963;7;310;29229
"70-79";10274;11050;8;190;21522
"80-89";7938;14540;22;200;22700
"90-99";1558;5380;6;67;7011
"100+";40;136;0;7;183
"Unbekannt";131;149;0;51;331
"Gesamt";171125;180575;68;5459;357227
