"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"85829";"80733";"10";"1671";"168243"
"'6-11";"178241";"161360";"20";"4218";"343839"
"'12-15";"101032";"93999";"16";"1677";"196724"
"16-19";"105192";"106736";"18";"1520";"213466"
"20-34";"430105";"434588";"50";"6429";"871172"
"35-59";"613610";"659237";"62";"8377";"1281286"
"60-79";"176438";"176785";"15";"1789";"355027"
"80+";"43550";"76213";"3";"687";"120453"
"unbekannt";"1046";"1087";"1";"82";"2216"
"Gesamt";"1735043";"1790738";"195";"26450";"3552426"
