"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";810;749;8;1567
"'10-19";1483;1627;2;3112
"20-29";4019;3876;11;7906
"30-39";3496;3396;13;6905
"40-49";3384;4031;5;7420
"50-59";4461;4986;7;9454
"60-69";2617;2258;1;4876
"70-79";2106;2021;1;4128
"80-89";1540;2486;1;4027
"90-99";250;818;0;1068
"100+";0;12;0;12
"Unbekannt";3;5;18;26
"Gesamt";24169;26265;67;50501
