"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";12258;11473;0;412;24143
"'6-11";16655;15318;2;395;32370
"'12-15";13219;12179;2;341;25741
"16-19";19636;19509;3;386;39534
"20-34";93325;84523;5;2087;179940
"35-59";131629;131950;10;2778;266367
"60-79";47721;46592;1;651;94965
"80+";16177;31434;2;373;47986
"Unbekannt";25;25;0;6;56
"Gesamt";350645;353003;25;7429;711102
