"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";6353;5860;0;278;12491
"'10-19";12526;11889;0;355;24770
"20-29";21365;19324;2;631;41322
"30-39";17297;15922;1;585;33805
"40-49";16090;17094;3;525;33712
"50-59";18921;18796;2;361;38080
"60-69";9601;8778;3;166;18548
"70-79";6469;6606;0;88;13163
"80-89";4458;7806;0;56;12320
"90-99";827;2728;0;18;3573
"100+";17;74;0;4;95
"Unbekannt";82;70;0;133;285
"Gesamt";114006;114947;11;3200;232164
