"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";11898;11015;1;530;23444
"'10-19";21605;21254;4;665;43528
"20-29";37151;34686;4;1265;73106
"30-39";31390;29775;8;1153;62326
"40-49";29290;32147;4;1072;62513
"50-59";35321;36318;6;837;72482
"60-69";18620;17370;3;391;36384
"70-79";12618;13608;6;260;26492
"80-89";9976;18084;18;309;28387
"90-99";1922;6658;5;101;8686
"100+";28;136;0;5;169
"Unbekannt";25;26;0;25;76
"Gesamt";209844;221077;59;6613;437593
