"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1189;1042;10;0;0;137;4053;5242
"LK Altötting";1605;1564;2;3;15;21;4473;6078
"LK Amberg-Sulzbach";1171;805;0;1;13;352;3690;4861
"LK Ansbach";1618;1580;1;2;10;25;6811;8429
"LK Aschaffenburg";1491;1424;4;1;31;31;6558;8049
"LK Augsburg";2487;2164;114;23;81;105;9044;11531
"LK Bad Kissingen";897;820;35;0;2;40;2753;3650
"LK Bad Tölz-Wolfratshausen";1072;980;0;0;36;56;4066;5138
"LK Bamberg";1220;1141;17;3;54;5;4466;5686
"LK Bayreuth";1168;1164;0;0;4;0;3771;4939
"LK Berchtesgadener Land";779;751;12;4;12;0;5329;6108
"LK Cham";3039;2965;3;5;12;54;4112;7151
"LK Coburg";1246;1227;3;0;4;12;3649;4895
"LK Dachau";1669;1602;2;1;31;33;6616;8285
"LK Deggendorf";875;267;1;0;10;597;6160;7035
"LK Dillingen a.d.Donau";1049;1010;26;0;7;6;2795;3844
"LK Dingolfing-Landau";2014;1963;13;1;23;14;3835;5849
"LK Donau-Ries";1680;1445;45;1;36;153;4368;6048
"LK Ebersberg";1042;964;6;2;21;49;5368;6410
"LK Eichstätt";1355;1300;1;7;18;29;3746;5101
"LK Erding";1368;1302;6;12;18;30;5641;7009
"LK Erlangen-Höchstadt";1021;949;2;7;15;48;4426;5447
"LK Forchheim";1172;1144;0;2;17;9;3647;4819
"LK Freising";1766;1626;7;8;6;119;6534;8300
"LK Freyung-Grafenau";1027;934;26;0;1;66;3903;4930
"LK Fürstenfeldbruck";1867;1775;11;0;44;37;7937;9804
"LK Fürth";1153;1113;8;0;18;14;4247;5400
"LK Garmisch-Partenkirchen";875;828;4;1;10;32;2788;3663
"LK Günzburg";1880;1703;100;1;16;60;5082;6962
"LK Haßberge";1362;1312;18;0;2;30;2729;4091
"LK Hof";2165;2128;5;0;1;31;4245;6410
"LK Kelheim";1608;1567;1;3;5;32;4336;5944
"LK Kitzingen";758;710;2;3;35;8;2562;3320
"LK Kronach";871;857;2;1;1;10;3364;4235
"LK Kulmbach";1410;1342;2;0;5;61;2680;4090
"LK Landsberg a.Lech";954;726;135;0;15;78;3183;4137
"LK Landshut";2029;1628;0;1;20;380;6026;8055
"LK Lichtenfels";1164;1155;1;0;1;7;2428;3592
"LK Lindau";863;822;13;0;9;19;2596;3459
"LK Main-Spessart";1319;1278;2;1;29;9;3459;4778
"LK Miesbach";832;801;2;0;11;18;3787;4619
"LK Miltenberg";1339;1305;2;0;15;17;4687;6026
"LK Mühldorf a.Inn";1733;1681;6;10;17;19;5261;6994
"LK München";2785;2580;6;3;33;163;12738;15523
"LK Neu-Ulm";2175;2035;70;3;8;59;5624;7799
"LK Neuburg-Schrobenhausen";1026;996;1;2;2;25;3185;4211
"LK Neumarkt i.d.OPf.";672;593;0;0;10;69;5904;6576
"LK Neustadt a.d.Aisch-Bad Windsheim";1062;1015;0;0;5;42;3333;4395
"LK Neustadt a.d.Waldnaab";1211;496;1;0;7;707;4051;5262
"LK Nürnberger Land";1557;1494;5;7;16;35;5917;7474
"LK Oberallgäu";1953;1770;53;1;42;87;4043;5996
"LK Ostallgäu";2512;2402;28;2;23;57;4664;7176
"LK Passau";2017;1946;33;2;9;27;10941;12958
"LK Pfaffenhofen a.d.Ilm";1483;1360;2;35;10;76;4203;5686
"LK Regen";1108;1081;1;0;9;17;4435;5543
"LK Regensburg";2560;2441;0;1;57;61;5804;8364
"LK Rhön-Grabfeld";949;929;5;3;9;3;2612;3561
"LK Rosenheim";2477;2328;1;6;35;107;11519;13996
"LK Roth";1239;1206;3;0;13;17;4465;5704
"LK Rottal-Inn";1696;1657;13;11;1;14;5876;7572
"LK Schwandorf";3300;3192;0;0;36;72;5135;8435
"LK Schweinfurt";1315;1265;30;4;14;2;3844;5159
"LK Starnberg";898;818;2;3;52;23;4287;5185
"LK Straubing-Bogen";1431;1382;1;1;11;36;3958;5389
"LK Tirschenreuth";1581;1564;0;0;4;13;3738;5319
"LK Traunstein";2700;2605;23;3;26;43;8444;11144
"LK Unterallgäu";2396;2347;3;7;24;15;4918;7314
"LK Weilheim-Schongau";1109;1091;5;0;12;1;4075;5184
"LK Weißenburg-Gunzenhausen";883;800;3;0;13;67;3046;3929
"LK Wunsiedel i.Fichtelgebirge";1561;1549;0;0;6;6;3475;5036
"LK Würzburg";1116;1054;8;3;48;3;3370;4486
"SK Amberg";518;317;0;0;21;180;1258;1776
"SK Ansbach";251;239;0;1;5;6;1629;1880
"SK Aschaffenburg";808;758;1;1;30;18;2708;3516
"SK Augsburg";3916;3120;70;12;167;547;14236;18152
"SK Bamberg";645;581;4;0;55;5;2530;3175
