"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"SK Bayreuth";896;890;0;0;6;0;2584;3480
"SK Coburg";593;585;3;0;4;1;1814;2407
"SK Erlangen";689;642;0;0;25;22;3345;4034
"SK Fürth";2097;2037;6;2;25;27;5669;7766
"SK Hof";1466;1398;2;0;4;62;2507;3973
"SK Ingolstadt";1473;1405;1;10;40;17;4780;6253
"SK Kaufbeuren";716;700;0;0;8;8;1682;2398
"SK Kempten";1350;1265;27;0;7;51;1930;3280
"SK Landshut";1004;745;1;0;23;235;3112;4116
"SK Memmingen";569;521;5;9;4;30;1697;2266
"SK München";14227;12680;81;39;695;732;60264;74491
"SK Nürnberg";6210;5887;11;4;88;220;28663;34873
"SK Passau";405;395;0;0;4;6;2986;3391
"SK Regensburg";2138;2051;3;1;47;36;4944;7082
"SK Rosenheim";775;723;0;10;6;36;3178;3953
"SK Schwabach";384;380;0;0;1;3;1773;2157
"SK Schweinfurt";1120;1071;25;9;12;3;2068;3188
"SK Straubing";654;641;0;1;1;11;1729;2383
"SK Weiden i.d.OPf.";621;309;2;1;3;306;2080;2701
"SK Würzburg";1194;1135;4;0;53;2;3423;4617
