"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1778;1042;11;0;588;137;4485;6263
"LK Altötting";2583;1564;2;3;992;22;4665;7248
"LK Amberg-Sulzbach";1478;805;0;1;320;352;3801;5279
"LK Ansbach";1913;1584;1;2;295;31;7759;9672
"LK Aschaffenburg";2200;1425;4;1;739;31;6921;9121
"LK Augsburg";3787;2166;114;23;1376;108;9654;13441
"LK Bad Kissingen";1107;830;36;0;196;45;2999;4106
"LK Bad Tölz-Wolfratshausen";1990;982;0;0;943;65;4638;6628
"LK Bamberg";1636;1140;18;3;470;5;4719;6355
"LK Bayreuth";1410;1185;1;0;224;0;3894;5304
"LK Berchtesgadener Land";1803;751;12;4;1036;0;6339;8142
"LK Cham";3895;2966;3;5;867;54;4397;8292
"LK Coburg";1576;1244;3;0;319;10;3784;5360
"LK Dachau";2808;1603;2;1;1169;33;7177;9985
"LK Deggendorf";1353;274;1;1;480;597;6713;8066
"LK Dillingen a.d.Donau";1708;1011;26;0;660;11;2934;4642
"LK Dingolfing-Landau";2776;1975;13;1;758;29;4156;6932
"LK Donau-Ries";2426;1445;45;1;782;153;4616;7042
"LK Ebersberg";2202;965;6;2;1177;52;5545;7747
"LK Eichstätt";1861;1300;1;7;524;29;4245;6106
"LK Erding";2592;1302;6;12;1232;40;5884;8476
"LK Erlangen-Höchstadt";1382;953;2;7;371;49;4773;6155
"LK Forchheim";1685;1194;1;3;476;11;3790;5475
"LK Freising";2945;1780;9;8;1049;99;6879;9824
"LK Freyung-Grafenau";1498;933;26;1;472;66;4053;5551
"LK Fürstenfeldbruck";2865;1776;11;0;1038;40;8448;11313
"LK Fürth";1697;1116;8;0;558;15;4465;6162
"LK Garmisch-Partenkirchen";1193;849;4;2;295;43;2903;4096
"LK Günzburg";2606;1702;100;1;743;60;5528;8134
"LK Haßberge";1629;1312;18;0;269;30;2918;4547
"LK Hof";2407;2136;5;0;236;30;4368;6775
"LK Kelheim";2293;1568;1;3;687;34;4714;7007
"LK Kitzingen";1136;710;2;3;413;8;2677;3813
"LK Kronach";955;857;2;1;85;10;3569;4524
"LK Kulmbach";1692;1361;0;0;271;60;2745;4437
"LK Landsberg a.Lech";1486;728;136;0;528;94;3521;5007
"LK Landshut";3044;1630;0;1;1028;385;6213;9257
"LK Lichtenfels";1388;1155;2;0;224;7;2515;3903
"LK Lindau";1288;823;13;0;433;19;2740;4028
"LK Main-Spessart";1712;1279;2;1;421;9;3543;5255
"LK Miesbach";1329;802;2;0;507;18;4347;5676
"LK Miltenberg";2041;1307;2;0;715;17;4871;6912
"LK Mühldorf a.Inn";2685;1681;6;10;968;20;5548;8233
"LK München";4630;2584;6;4;1863;173;13589;18219
"LK Neu-Ulm";3160;2153;70;3;913;21;6234;9394
"LK Neuburg-Schrobenhausen";1615;996;1;2;591;25;3399;5014
"LK Neumarkt i.d.OPf.";1354;594;0;0;690;70;6521;7875
"LK Neustadt a.d.Aisch-Bad Windsheim";1474;1015;0;0;417;42;3556;5030
"LK Neustadt a.d.Waldnaab";1458;496;1;0;254;707;4181;5639
"LK Nürnberger Land";2022;1495;5;7;476;39;6320;8342
"LK Oberallgäu";2783;1775;53;2;863;90;4358;7141
"LK Ostallgäu";3459;2403;28;2;966;60;5007;8466
"LK Passau";2778;1947;33;2;768;28;11378;14156
"LK Pfaffenhofen a.d.Ilm";2167;1361;2;35;693;76;4438;6605
"LK Regen";1643;1153;1;1;473;15;4566;6209
"LK Regensburg";3389;2444;0;1;878;66;6355;9744
"LK Rhön-Grabfeld";1209;938;5;3;259;4;2840;4049
"LK Rosenheim";4919;2331;1;7;2473;107;13076;17995
"LK Roth";1881;1205;3;0;656;17;4706;6587
"LK Rottal-Inn";2393;1656;13;11;699;14;6294;8687
"LK Schwandorf";3954;3193;1;2;686;72;5356;9310
"LK Schweinfurt";1607;1264;29;4;308;2;4341;5948
"LK Starnberg";1638;818;2;3;792;23;4509;6147
"LK Straubing-Bogen";2146;1389;1;1;715;40;4239;6385
"LK Tirschenreuth";1703;1564;0;0;126;13;3809;5512
"LK Traunstein";4790;2605;23;3;2116;43;9357;14147
"LK Unterallgäu";3401;2343;3;7;1032;16;5280;8681
"LK Weilheim-Schongau";1953;1091;5;0;856;1;4304;6257
"LK Weißenburg-Gunzenhausen";1332;800;3;0;462;67;3435;4767
"LK Wunsiedel i.Fichtelgebirge";1785;1549;0;0;230;6;3516;5301
"LK Würzburg";1780;1055;7;3;712;3;3542;5322
"SK Amberg";897;319;0;1;397;180;1366;2263
"SK Ansbach";381;239;0;1;130;11;1817;2198
"SK Aschaffenburg";1280;759;1;1;501;18;2909;4189
"SK Augsburg";6923;3115;70;12;3179;547;14788;21711
"SK Bamberg";999;580;5;0;408;6;2672;3671
"SK Bayreuth";1149;908;0;0;241;0;2743;3892
"SK Coburg";731;587;4;0;139;1;1889;2620
"SK Erlangen";1006;645;0;1;337;23;3676;4682
"SK Fürth";3030;2038;6;2;956;28;5960;8990
"SK Hof";1677;1406;2;0;211;58;2575;4252
"SK Ingolstadt";2605;1404;1;10;1173;17;5229;7834
"SK Kaufbeuren";990;700;0;0;279;11;1782;2772
"SK Kempten";1813;1262;28;0;469;54;2080;3893
"SK Landshut";1640;745;1;0;659;235;3163;4803
"SK Memmingen";816;521;5;9;251;30;1890;2706
"SK München";24075;12741;89;39;10439;767;66139;90214
"SK Nürnberg";8870;5899;17;4;2679;271;31501;40371
"SK Passau";615;401;0;0;208;6;3127;3742
"SK Regensburg";3062;2051;3;1;964;43;5604;8666
"SK Rosenheim";1563;724;0;10;793;36;3502;5065
"SK Schwabach";669;381;0;0;283;5;1867;2536
"SK Schweinfurt";1399;1068;25;9;295;2;2445;3844
"SK Straubing";996;642;0;1;342;11;1819;2815
"SK Weiden i.d.OPf.";799;309;2;1;180;307;2162;2961
"SK Würzburg";2016;1137;4;0;873;2;3626;5642
