"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1988;1042;11;0;797;138;5184;7172
"LK Altötting";3440;1564;2;3;1849;22;5096;8536
"LK Amberg-Sulzbach";1714;805;0;1;556;352;4204;5918
"LK Ansbach";2322;1583;1;2;698;38;8578;10900
"LK Aschaffenburg";2529;1425;4;1;1068;31;7269;9798
"LK Augsburg";4664;2166;114;23;2252;109;10962;15626
"LK Bad Kissingen";1239;830;36;0;327;46;3498;4737
"LK Bad Tölz-Wolfratshausen";2872;982;1;0;1820;69;6098;8970
"LK Bamberg";1922;1139;17;3;753;10;5240;7162
"LK Bayreuth";1580;1186;1;0;393;0;4155;5735
"LK Berchtesgadener Land";2572;751;12;4;1798;7;7425;9997
"LK Cham";4284;2966;3;5;1256;54;5189;9473
"LK Coburg";1772;1244;3;0;512;13;3952;5724
"LK Dachau";3378;1603;2;1;1739;33;7640;11018
"LK Deggendorf";1930;276;1;1;1055;597;7601;9531
"LK Dillingen a.d.Donau";2248;1011;26;0;1200;11;3431;5679
"LK Dingolfing-Landau";3136;2002;13;1;1091;29;5402;8538
"LK Donau-Ries";2855;1444;45;1;1211;154;5264;8119
"LK Ebersberg";3113;965;6;3;2087;52;6081;9194
"LK Eichstätt";2540;1300;1;7;1203;29;4528;7068
"LK Erding";3406;1302;6;12;2012;74;6364;9770
"LK Erlangen-Höchstadt";1757;954;2;7;743;51;5122;6879
"LK Forchheim";2001;1194;1;3;785;18;4090;6091
"LK Freising";3670;1780;9;9;1773;99;7455;11125
"LK Freyung-Grafenau";1854;933;26;1;828;66;4659;6513
"LK Fürstenfeldbruck";3363;1777;11;0;1527;48;8925;12288
"LK Fürth";2186;1116;8;0;1044;18;4709;6895
"LK Garmisch-Partenkirchen";1578;849;4;2;613;110;3300;4878
"LK Günzburg";3218;1702;100;1;1355;60;6107;9325
"LK Haßberge";2002;1312;18;0;640;32;3105;5107
"LK Hof";2711;2137;5;0;538;31;4642;7353
"LK Kelheim";2874;1569;3;3;1263;36;5160;8034
"LK Kitzingen";1465;710;3;3;713;36;2850;4315
"LK Kronach";1042;857;2;1;172;10;4135;5177
"LK Kulmbach";1849;1361;0;0;428;60;2902;4751
"LK Landsberg a.Lech";1819;728;136;0;839;116;3885;5704
"LK Landshut";3829;1630;0;1;1813;385;6964;10793
"LK Lichtenfels";1517;1155;2;0;353;7;2683;4200
"LK Lindau";1527;823;13;0;672;19;3053;4580
"LK Main-Spessart";1919;1279;2;1;628;9;3733;5652
"LK Miesbach";1661;802;2;0;839;18;5725;7386
"LK Miltenberg";2387;1307;2;0;1061;17;5165;7552
"LK Mühldorf a.Inn";4202;1681;6;10;2485;20;6446;10648
"LK München";5879;2584;7;5;3108;175;14349;20228
"LK Neu-Ulm";3904;2153;70;3;1656;22;7281;11185
"LK Neuburg-Schrobenhausen";1991;996;1;2;967;25;3647;5638
"LK Neumarkt i.d.OPf.";1957;594;1;0;1286;76;7334;9291
"LK Neustadt a.d.Aisch-Bad Windsheim";1815;1016;1;1;752;45;3857;5672
"LK Neustadt a.d.Waldnaab";1695;496;1;0;491;707;4566;6261
"LK Nürnberger Land";2497;1495;7;7;948;40;6682;9179
"LK Oberallgäu";2934;1775;53;2;1003;101;6302;9236
"LK Ostallgäu";4029;2403;28;2;1534;62;6076;10105
"LK Passau";3607;1947;33;2;1597;28;13183;16790
"LK Pfaffenhofen a.d.Ilm";2517;1361;2;35;1043;76;5086;7603
"LK Regen";1918;1153;1;0;749;15;5499;7417
"LK Regensburg";4042;2444;2;1;1522;73;7340;11382
"LK Rhön-Grabfeld";1665;938;5;3;713;6;2841;4506
"LK Rosenheim";6265;2331;1;7;3819;107;15238;21503
"LK Roth";2360;1205;3;0;1132;20;5032;7392
"LK Rottal-Inn";2670;1656;13;11;976;14;7944;10614
"LK Schwandorf";4619;3193;1;2;1351;72;5848;10467
"LK Schweinfurt";1954;1264;29;4;655;2;4709;6663
"LK Starnberg";2027;818;2;3;1181;23;4871;6898
"LK Straubing-Bogen";2707;1390;1;1;1274;41;5219;7926
"LK Tirschenreuth";1816;1564;0;0;239;13;4030;5846
"LK Traunstein";5492;2605;23;3;2818;43;12028;17520
"LK Unterallgäu";4003;2343;3;7;1634;16;6119;10122
"LK Weilheim-Schongau";2377;1091;5;0;1280;1;4725;7102
"LK Weißenburg-Gunzenhausen";1586;800;3;0;716;67;4084;5670
"LK Wunsiedel i.Fichtelgebirge";2037;1549;0;0;482;6;3624;5661
"LK Würzburg";2210;1055;7;4;1141;3;3856;6066
"SK Amberg";999;319;0;1;499;180;1470;2469
"SK Ansbach";450;239;0;1;199;11;1963;2413
"SK Aschaffenburg";1403;759;1;1;624;18;3075;4478
"SK Augsburg";8230;3118;70;12;4482;548;15630;23860
"SK Bamberg";1200;582;5;0;607;6;2860;4060
"SK Bayreuth";1229;908;0;0;321;0;2858;4087
"SK Coburg";820;587;4;1;226;2;1965;2785
"SK Erlangen";1158;645;0;1;488;24;3913;5071
"SK Fürth";3588;2038;6;2;1510;32;6240;9828
"SK Hof";1761;1406;2;0;294;59;2650;4411
"SK Ingolstadt";3168;1404;1;11;1735;17;5769;8937
"SK Kaufbeuren";1148;700;0;0;437;11;1982;3130
"SK Kempten";1866;1262;28;0;514;62;2785;4651
"SK Landshut";1951;745;1;0;970;235;3336;5287
"SK Memmingen";941;521;5;9;376;30;2130;3071
"SK München";28882;12746;91;41;15200;804;69632;98514
"SK Nürnberg";9641;5899;18;4;3441;279;34012;43653
"SK Passau";745;401;0;0;338;6;3405;4150
"SK Regensburg";3785;2051;3;1;1677;53;6542;10327
"SK Rosenheim";1936;724;0;10;1166;36;3807;5743
"SK Schwabach";788;381;0;0;401;6;2020;2808
"SK Schweinfurt";1616;1068;25;9;512;2;2714;4330
"SK Straubing";1226;642;0;1;572;11;2130;3356
"SK Weiden i.d.OPf.";884;309;2;1;265;307;2256;3140
"SK Würzburg";2399;1137;4;0;1256;2;3911;6310
