"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"3";"0";"0";"5"
"'6-11";"1";"2";"0";"0";"3"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"2";"0";"0";"3"
"20-34";"25";"24";"0";"0";"49"
"35-59";"745";"309";"0";"2";"1056"
"60-79";"4028";"2166";"0";"22";"6216"
"80+";"6158";"7506";"0";"60";"13724"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"10960";"10013";"0";"84";"21057"
