"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";20391;18819;1;791;40002
"'10-19";32935;31722;5;960;65622
"20-29";53075;48477;5;1572;103129
"30-39";45968;42940;8;1443;90359
"40-49";42985;45236;6;1340;89567
"50-59";50529;49488;7;1053;101077
"60-69";25756;24030;3;459;50248
"70-79";16016;17144;6;294;33460
"80-89";11470;20367;18;328;32183
"90-99";2117;7214;5;109;9445
"100+";26;151;0;6;183
"Unbekannt";28;33;0;26;87
"Gesamt";301296;305621;64;8381;615362
