"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";11239;10536;0;401;22176
"'6-11";14986;13761;2;378;29127
"'12-15";11888;10926;2;334;23150
"16-19";18198;18090;2;370;36660
"20-34";88041;79608;6;2123;169778
"35-59";125613;125925;10;2845;254393
"60-79";46619;45387;1;668;92675
"80+";15872;30837;2;372;47083
"Unbekannt";18;18;0;6;42
"Gesamt";332474;335088;25;7497;675084
