"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";13516;12608;0;414;26538
"'6-11";19737;18102;2;477;38318
"'12-15";15200;13943;2;346;29491
"16-19";21519;21288;3;387;43197
"20-34";100055;91069;6;2086;193216
"35-59";140094;140844;10;2745;283693
"60-79";49855;48794;2;654;99305
"80+";16815;32551;2;368;49736
"Unbekannt";28;26;0;6;60
"Gesamt";376819;379225;27;7483;763554
