"meldelandkreis";"Jahr";"MW";" keine Angaben";"VOC";"andere Varianten"
"LK Coburg";"2021";"10";12;10;14
"LK Coburg";"2021";"11";9;20;22
"LK Coburg";"2021";"12";8;51;8
"LK Coburg";"2021";"13";9;69;5
"LK Coburg";"2021";"14";21;95;4
"LK Coburg";"2021";"15";29;124;3
"LK Coburg";"2021";"16";29;142;2
"LK Coburg";"2021";"17";42;197;0
"LK Coburg";"2021";"18";46;184;1
"LK Coburg";"2021";"19";29;114;0
"LK Coburg";"2021";"20";20;71;1
"LK Coburg";"2021";"21";19;49;0
"LK Coburg";"2021";"22";10;21;2
"LK Coburg";"2021";"23";5;20;2
"LK Coburg";"2021";"24";3;2;1
"LK Coburg";"2021";"25";0;2;0
"LK Coburg";"2021";"26";0;1;0
"LK Coburg";"2021";"29";0;6;0
"LK Coburg";"2021";"30";4;10;0
"LK Coburg";"2021";"31";2;8;0
"LK Coburg";"2021";"32";2;10;0
"LK Coburg";"2021";"33";0;9;0
"LK Coburg";"2021";"34";4;10;0
"LK Coburg";"2021";"35";4;21;0
"LK Coburg";"2021";"36";19;49;0
"LK Coburg";"2021";"37";15;36;3
"LK Coburg";"2021";"38";6;17;2
"LK Coburg";"2021";"39";28;57;0
"LK Coburg";"2021";"40";25;60;0
"LK Coburg";"2021";"41";10;50;5
"LK Coburg";"2021";"42";16;75;1
"LK Coburg";"2021";"43";31;80;1
"LK Coburg";"2021";"44";74;82;4
"LK Coburg";"2021";"45";240;113;1
"LK Coburg";"2021";"46";368;24;1
"LK Dachau";"2021";"01";198;0;1
"LK Dachau";"2021";"02";255;0;0
"LK Dachau";"2021";"03";155;1;3
"LK Dachau";"2021";"04";124;1;0
"LK Dachau";"2021";"05";76;5;1
"LK Dachau";"2021";"06";39;21;5
"LK Dachau";"2021";"07";28;17;16
"LK Dachau";"2021";"08";23;24;13
"LK Dachau";"2021";"09";16;45;9
"LK Dachau";"2021";"10";26;89;11
"LK Dachau";"2021";"11";64;128;18
"LK Dachau";"2021";"12";166;153;6
"LK Dachau";"2021";"13";70;163;6
"LK Dachau";"2021";"14";68;116;3
"LK Dachau";"2021";"15";149;219;7
"LK Dachau";"2021";"16";90;208;2
"LK Dachau";"2021";"17";48;157;2
"LK Dachau";"2021";"18";25;125;2
"LK Dachau";"2021";"19";29;67;0
"LK Dachau";"2021";"20";18;28;1
"LK Dachau";"2021";"21";9;33;0
"LK Dachau";"2021";"22";2;14;0
"LK Dachau";"2021";"23";3;17;0
"LK Dachau";"2021";"24";4;1;0
"LK Dachau";"2021";"25";5;11;2
"LK Dachau";"2021";"26";3;8;0
"LK Dachau";"2021";"27";3;0;0
"LK Dachau";"2021";"28";7;10;1
"LK Dachau";"2021";"29";8;17;1
"LK Dachau";"2021";"30";17;17;2
"LK Dachau";"2021";"31";7;16;6
"LK Dachau";"2021";"32";17;52;22
"LK Dachau";"2021";"33";26;66;14
"LK Dachau";"2021";"34";44;108;21
"LK Dachau";"2021";"35";69;149;5
"LK Dachau";"2021";"36";40;148;1
"LK Dachau";"2021";"37";41;126;0
"LK Dachau";"2021";"38";55;90;0
"LK Dachau";"2021";"39";57;141;0
"LK Dachau";"2021";"40";54;140;0
"LK Dachau";"2021";"41";56;98;0
"LK Dachau";"2021";"42";79;183;0
"LK Dachau";"2021";"43";129;276;0
"LK Dachau";"2021";"44";286;195;2
"LK Dachau";"2021";"45";599;51;0
"LK Dachau";"2021";"46";952;20;0
"LK Deggendorf";"2021";"01";349;1;0
"LK Deggendorf";"2021";"02";190;0;0
"LK Deggendorf";"2021";"03";229;0;0
"LK Deggendorf";"2021";"04";167;1;0
"LK Deggendorf";"2021";"05";108;0;0
"LK Deggendorf";"2021";"06";91;10;0
"LK Deggendorf";"2021";"07";94;0;0
"LK Deggendorf";"2021";"08";37;37;0
"LK Deggendorf";"2021";"09";143;0;0
"LK Deggendorf";"2021";"10";117;1;0
"LK Deggendorf";"2021";"11";136;1;0
"LK Deggendorf";"2021";"12";254;4;0
"LK Deggendorf";"2021";"13";147;83;0
"LK Deggendorf";"2021";"14";161;139;1
"LK Deggendorf";"2021";"15";234;79;0
"LK Deggendorf";"2021";"16";197;86;0
"LK Deggendorf";"2021";"17";210;59;0
"LK Deggendorf";"2021";"18";74;93;0
"LK Deggendorf";"2021";"19";62;115;0
"LK Deggendorf";"2021";"20";29;76;0
"LK Deggendorf";"2021";"21";23;36;0
"LK Deggendorf";"2021";"22";5;23;0
"LK Deggendorf";"2021";"23";5;11;0
"LK Deggendorf";"2021";"24";3;9;0
"LK Deggendorf";"2021";"25";0;4;0
"LK Deggendorf";"2021";"26";1;2;0
"LK Deggendorf";"2021";"27";6;0;2
"LK Deggendorf";"2021";"28";9;6;10
"LK Deggendorf";"2021";"29";1;2;8
"LK Deggendorf";"2021";"30";2;4;16
"LK Deggendorf";"2021";"31";1;2;10
"LK Deggendorf";"2021";"32";5;1;48
"LK Deggendorf";"2021";"33";3;0;40
"LK Deggendorf";"2021";"34";18;1;46
"LK Deggendorf";"2021";"35";18;7;87
"LK Deggendorf";"2021";"36";26;20;99
"LK Deggendorf";"2021";"37";10;82;0
"LK Deggendorf";"2021";"38";25;44;1
"LK Deggendorf";"2021";"39";8;84;0
"LK Deggendorf";"2021";"40";28;115;0
"LK Deggendorf";"2021";"41";38;141;1
"LK Deggendorf";"2021";"42";114;185;2
"LK Deggendorf";"2021";"43";243;162;1
"LK Deggendorf";"2021";"44";536;223;0
"LK Deggendorf";"2021";"45";735;386;0
"LK Deggendorf";"2021";"46";1031;169;0
"LK Dillingen a.d.Donau";"2021";"01";25;0;123
"LK Dillingen a.d.Donau";"2021";"02";19;0;94
"LK Dillingen a.d.Donau";"2021";"03";13;1;47
"LK Dillingen a.d.Donau";"2021";"04";9;3;42
"LK Dillingen a.d.Donau";"2021";"05";0;31;66
"LK Dillingen a.d.Donau";"2021";"06";0;13;20
"LK Dillingen a.d.Donau";"2021";"07";3;3;15
"LK Dillingen a.d.Donau";"2021";"08";8;6;14
"LK Dillingen a.d.Donau";"2021";"09";2;14;9
"LK Dillingen a.d.Donau";"2021";"10";3;30;12
"LK Dillingen a.d.Donau";"2021";"11";0;26;12
"LK Dillingen a.d.Donau";"2021";"12";4;64;19
"LK Dillingen a.d.Donau";"2021";"13";1;71;2
"LK Dillingen a.d.Donau";"2021";"14";2;90;13
"LK Dillingen a.d.Donau";"2021";"15";2;103;18
"LK Dillingen a.d.Donau";"2021";"16";3;151;22
"LK Dillingen a.d.Donau";"2021";"17";0;85;25
"LK Dillingen a.d.Donau";"2021";"18";3;85;22
"LK Dillingen a.d.Donau";"2021";"19";1;92;17
"LK Dillingen a.d.Donau";"2021";"20";3;81;23
"LK Dillingen a.d.Donau";"2021";"21";0;43;14
"LK Dillingen a.d.Donau";"2021";"22";0;27;4
"LK Dillingen a.d.Donau";"2021";"23";6;13;4
"LK Dillingen a.d.Donau";"2021";"24";1;1;0
"LK Dillingen a.d.Donau";"2021";"25";2;4;0
"LK Dillingen a.d.Donau";"2021";"26";1;3;0
"LK Dillingen a.d.Donau";"2021";"27";3;4;3
"LK Dillingen a.d.Donau";"2021";"28";2;19;4
"LK Dillingen a.d.Donau";"2021";"29";4;24;5
"LK Dillingen a.d.Donau";"2021";"30";4;12;4
"LK Dillingen a.d.Donau";"2021";"31";0;25;2
"LK Dillingen a.d.Donau";"2021";"32";5;53;0
"LK Dillingen a.d.Donau";"2021";"33";12;42;1
"LK Dillingen a.d.Donau";"2021";"34";23;89;1
"LK Dillingen a.d.Donau";"2021";"35";4;80;8
"LK Dillingen a.d.Donau";"2021";"36";5;60;7
"LK Dillingen a.d.Donau";"2021";"37";1;33;7
"LK Dillingen a.d.Donau";"2021";"38";2;56;6
"LK Dillingen a.d.Donau";"2021";"39";3;59;6
"LK Dillingen a.d.Donau";"2021";"40";8;52;17
"LK Dillingen a.d.Donau";"2021";"41";14;76;20
"LK Dillingen a.d.Donau";"2021";"42";29;124;26
"LK Dillingen a.d.Donau";"2021";"43";54;174;132
"LK Dillingen a.d.Donau";"2021";"44";130;314;53
"LK Dillingen a.d.Donau";"2021";"45";358;314;24
"LK Dillingen a.d.Donau";"2021";"46";276;111;303
"LK Dingolfing-Landau";"2021";"01";214;1;1
"LK Dingolfing-Landau";"2021";"02";87;2;0
"LK Dingolfing-Landau";"2021";"03";68;3;2
"LK Dingolfing-Landau";"2021";"04";79;4;0
"LK Dingolfing-Landau";"2021";"05";43;11;0
"LK Dingolfing-Landau";"2021";"06";27;21;1
"LK Dingolfing-Landau";"2021";"07";25;29;10
"LK Dingolfing-Landau";"2021";"08";40;26;12
"LK Dingolfing-Landau";"2021";"09";32;50;7
"LK Dingolfing-Landau";"2021";"10";25;92;6
"LK Dingolfing-Landau";"2021";"11";26;98;1
"LK Dingolfing-Landau";"2021";"12";23;153;2
"LK Dingolfing-Landau";"2021";"13";25;167;3
"LK Dingolfing-Landau";"2021";"14";39;259;2
"LK Dingolfing-Landau";"2021";"15";188;162;0
"LK Dingolfing-Landau";"2021";"16";98;222;0
"LK Dingolfing-Landau";"2021";"17";43;204;1
"LK Dingolfing-Landau";"2021";"18";24;189;0
"LK Dingolfing-Landau";"2021";"19";21;123;0
"LK Dingolfing-Landau";"2021";"20";18;62;0
"LK Dingolfing-Landau";"2021";"21";4;44;0
"LK Dingolfing-Landau";"2021";"22";4;27;0
"LK Dingolfing-Landau";"2021";"23";2;27;1
"LK Dingolfing-Landau";"2021";"24";5;12;1
"LK Dingolfing-Landau";"2021";"25";1;3;0
"LK Dingolfing-Landau";"2021";"26";0;4;0
"LK Dingolfing-Landau";"2021";"27";1;4;0
"LK Dingolfing-Landau";"2021";"28";4;14;1
"LK Dingolfing-Landau";"2021";"29";2;6;0
"LK Dingolfing-Landau";"2021";"30";3;10;0
"LK Dingolfing-Landau";"2021";"31";5;29;0
"LK Dingolfing-Landau";"2021";"32";10;70;8
"LK Dingolfing-Landau";"2021";"33";20;66;4
"LK Dingolfing-Landau";"2021";"34";19;88;5
"LK Dingolfing-Landau";"2021";"35";19;85;2
"LK Dingolfing-Landau";"2021";"36";21;74;1
"LK Dingolfing-Landau";"2021";"37";14;51;1
"LK Dingolfing-Landau";"2021";"38";18;51;0
"LK Dingolfing-Landau";"2021";"39";25;78;0
"LK Dingolfing-Landau";"2021";"40";39;106;0
"LK Dingolfing-Landau";"2021";"41";71;143;0
"LK Dingolfing-Landau";"2021";"42";174;180;1
"LK Dingolfing-Landau";"2021";"43";485;92;0
"LK Dingolfing-Landau";"2021";"44";647;77;1
"LK Dingolfing-Landau";"2021";"45";878;136;1
"LK Dingolfing-Landau";"2021";"46";901;73;0
"LK Donau-Ries";"2021";"01";304;1;4
"LK Donau-Ries";"2021";"02";183;0;2
"LK Donau-Ries";"2021";"03";109;1;3
"LK Donau-Ries";"2021";"04";62;0;2
"LK Donau-Ries";"2021";"05";48;1;8
"LK Donau-Ries";"2021";"06";25;1;8
"LK Donau-Ries";"2021";"07";16;2;6
"LK Donau-Ries";"2021";"08";1;4;10
"LK Donau-Ries";"2021";"09";0;15;17
"LK Donau-Ries";"2021";"10";14;48;13
"LK Donau-Ries";"2021";"11";77;134;5
"LK Donau-Ries";"2021";"12";70;148;1
"LK Donau-Ries";"2021";"13";85;88;3
"LK Donau-Ries";"2021";"14";82;128;9
"LK Donau-Ries";"2021";"15";75;295;2
"LK Donau-Ries";"2021";"16";71;240;2
"LK Donau-Ries";"2021";"17";41;164;2
"LK Donau-Ries";"2021";"18";36;101;1
"LK Donau-Ries";"2021";"19";45;82;0
"LK Donau-Ries";"2021";"20";24;49;1
"LK Donau-Ries";"2021";"21";23;44;1
"LK Donau-Ries";"2021";"22";24;35;0
"LK Donau-Ries";"2021";"23";21;43;0
"LK Donau-Ries";"2021";"24";4;5;0
"LK Donau-Ries";"2021";"25";2;9;0
"LK Donau-Ries";"2021";"26";2;6;0
"LK Donau-Ries";"2021";"27";3;11;0
"LK Donau-Ries";"2021";"28";2;4;1
"LK Donau-Ries";"2021";"29";12;23;0
"LK Donau-Ries";"2021";"30";4;7;0
"LK Donau-Ries";"2021";"31";6;8;1
"LK Donau-Ries";"2021";"32";5;26;0
"LK Donau-Ries";"2021";"33";7;59;1
"LK Donau-Ries";"2021";"34";10;90;0
"LK Donau-Ries";"2021";"35";14;69;1
"LK Donau-Ries";"2021";"36";19;84;1
"LK Donau-Ries";"2021";"37";14;57;1
"LK Donau-Ries";"2021";"38";24;115;0
"LK Donau-Ries";"2021";"39";22;103;0
"LK Donau-Ries";"2021";"40";48;85;0
"LK Donau-Ries";"2021";"41";53;65;0
"LK Donau-Ries";"2021";"42";111;111;0
"LK Donau-Ries";"2021";"43";233;226;0
"LK Donau-Ries";"2021";"44";439;306;0
"LK Donau-Ries";"2021";"45";866;276;0
"LK Donau-Ries";"2021";"46";691;40;0
"LK Ebersberg";"2021";"01";280;0;2
"LK Ebersberg";"2021";"02";273;0;2
"LK Ebersberg";"2021";"03";166;0;1
"LK Ebersberg";"2021";"04";116;1;1
"LK Ebersberg";"2021";"05";73;1;0
"LK Ebersberg";"2021";"06";48;2;1
"LK Ebersberg";"2021";"07";51;5;1
"LK Ebersberg";"2021";"08";54;9;7
"LK Ebersberg";"2021";"09";19;14;23
"LK Ebersberg";"2021";"10";9;55;41
"LK Ebersberg";"2021";"11";16;72;29
"LK Ebersberg";"2021";"12";25;67;26
"LK Ebersberg";"2021";"13";21;81;20
"LK Ebersberg";"2021";"14";27;85;10
"LK Ebersberg";"2021";"15";60;96;11
"LK Ebersberg";"2021";"16";68;112;9
"LK Ebersberg";"2021";"17";48;126;9
"LK Ebersberg";"2021";"18";48;108;6
"LK Ebersberg";"2021";"19";30;75;4
"LK Ebersberg";"2021";"20";20;36;0
"LK Ebersberg";"2021";"21";11;33;1
"LK Ebersberg";"2021";"22";12;15;1
"LK Ebersberg";"2021";"23";10;24;0
"LK Ebersberg";"2021";"24";2;8;2
"LK Ebersberg";"2021";"25";2;3;0
"LK Ebersberg";"2021";"26";0;3;0
"LK Ebersberg";"2021";"27";5;10;0
"LK Ebersberg";"2021";"28";6;16;0
"LK Ebersberg";"2021";"29";1;9;0
"LK Ebersberg";"2021";"30";7;10;0
"LK Ebersberg";"2021";"31";2;14;0
"LK Ebersberg";"2021";"32";8;30;0
"LK Ebersberg";"2021";"33";10;55;0
"LK Ebersberg";"2021";"34";16;112;1
"LK Ebersberg";"2021";"35";10;135;0
"LK Ebersberg";"2021";"36";17;164;0
"LK Ebersberg";"2021";"37";13;120;1
"LK Ebersberg";"2021";"38";15;121;0
"LK Ebersberg";"2021";"39";24;101;0
"LK Ebersberg";"2021";"40";28;143;0
"LK Ebersberg";"2021";"41";33;145;0
"LK Ebersberg";"2021";"42";56;226;0
"LK Ebersberg";"2021";"43";65;369;1
"LK Ebersberg";"2021";"44";133;592;1
"LK Ebersberg";"2021";"45";309;681;0
"LK Ebersberg";"2021";"46";485;455;0
"LK Eichstätt";"2021";"01";183;0;0
"LK Eichstätt";"2021";"02";162;1;0
"LK Eichstätt";"2021";"03";128;0;0
"LK Eichstätt";"2021";"04";91;0;10
"LK Eichstätt";"2021";"05";35;1;2
"LK Eichstätt";"2021";"06";32;4;0
"LK Eichstätt";"2021";"07";37;8;0
"LK Eichstätt";"2021";"08";35;15;0
"LK Eichstätt";"2021";"09";11;12;0
"LK Eichstätt";"2021";"10";15;17;0
"LK Eichstätt";"2021";"11";20;90;0
"LK Eichstätt";"2021";"12";45;175;1
"LK Eichstätt";"2021";"13";31;166;3
"LK Eichstätt";"2021";"14";41;163;4
"LK Eichstätt";"2021";"15";48;138;3
"LK Eichstätt";"2021";"16";54;174;1
"LK Eichstätt";"2021";"17";23;121;3
"LK Eichstätt";"2021";"18";23;83;3
"LK Eichstätt";"2021";"19";13;55;2
"LK Eichstätt";"2021";"20";7;44;2
"LK Eichstätt";"2021";"21";5;24;0
"LK Eichstätt";"2021";"22";3;10;1
"LK Eichstätt";"2021";"23";3;19;0
"LK Eichstätt";"2021";"24";5;8;1
"LK Eichstätt";"2021";"25";1;7;0
"LK Eichstätt";"2021";"26";3;3;2
"LK Eichstätt";"2021";"27";0;5;0
"LK Eichstätt";"2021";"28";2;7;0
"LK Eichstätt";"2021";"29";5;9;0
"LK Eichstätt";"2021";"30";6;6;1
"LK Eichstätt";"2021";"31";13;9;0
"LK Eichstätt";"2021";"32";34;26;1
"LK Eichstätt";"2021";"33";57;25;3
"LK Eichstätt";"2021";"34";52;38;1
"LK Eichstätt";"2021";"35";52;41;1
"LK Eichstätt";"2021";"36";90;50;0
"LK Eichstätt";"2021";"37";100;71;0
"LK Eichstätt";"2021";"38";21;97;0
"LK Eichstätt";"2021";"39";20;69;0
"LK Eichstätt";"2021";"40";17;41;0
"LK Eichstätt";"2021";"41";27;61;0
"LK Eichstätt";"2021";"42";60;139;0
"LK Eichstätt";"2021";"43";134;290;1
"LK Eichstätt";"2021";"44";72;243;0
"LK Eichstätt";"2021";"45";88;628;0
"LK Eichstätt";"2021";"46";44;702;0
"LK Erding";"2021";"01";226;1;0
"LK Erding";"2021";"02";214;0;0
"LK Erding";"2021";"03";181;0;0
"LK Erding";"2021";"04";114;1;0
"LK Erding";"2021";"05";45;0;0
"LK Erding";"2021";"06";47;0;0
"LK Erding";"2021";"07";40;9;0
"LK Erding";"2021";"08";53;18;0
"LK Erding";"2021";"09";53;17;3
"LK Erding";"2021";"10";34;51;0
"LK Erding";"2021";"11";40;78;1
"LK Erding";"2021";"12";40;78;6
"LK Erding";"2021";"13";51;127;8
"LK Erding";"2021";"14";24;117;1
"LK Erding";"2021";"15";20;224;1
"LK Erding";"2021";"16";65;216;2
"LK Erding";"2021";"17";41;165;6
"LK Erding";"2021";"18";25;93;12
"LK Erding";"2021";"19";25;56;6
"LK Erding";"2021";"20";12;33;0
"LK Erding";"2021";"21";3;17;1
"LK Erding";"2021";"22";10;29;4
"LK Erding";"2021";"23";6;17;3
"LK Erding";"2021";"24";4;5;0
"LK Erding";"2021";"25";0;1;0
"LK Erding";"2021";"26";2;1;1
"LK Erding";"2021";"27";0;3;0
"LK Erding";"2021";"28";11;8;0
"LK Erding";"2021";"29";4;12;0
"LK Erding";"2021";"30";5;19;1
"LK Erding";"2021";"31";6;17;0
"LK Erding";"2021";"32";5;52;0
"LK Erding";"2021";"33";15;77;0
"LK Erding";"2021";"34";21;83;0
"LK Erding";"2021";"35";28;117;0
"LK Erding";"2021";"36";43;176;1
"LK Erding";"2021";"37";23;176;0
"LK Erding";"2021";"38";10;137;2
"LK Erding";"2021";"39";11;148;0
"LK Erding";"2021";"40";14;125;0
"LK Erding";"2021";"41";33;119;0
"LK Erding";"2021";"42";56;246;0
"LK Erding";"2021";"43";122;327;1
"LK Erding";"2021";"44";170;495;2
"LK Erding";"2021";"45";295;659;11
"LK Erding";"2021";"46";513;525;2
"LK Erlangen-Höchstadt";"2021";"01";180;0;0
"LK Erlangen-Höchstadt";"2021";"02";198;0;0
"LK Erlangen-Höchstadt";"2021";"03";120;0;0
"LK Erlangen-Höchstadt";"2021";"04";103;1;0
"LK Erlangen-Höchstadt";"2021";"05";66;5;2
"LK Erlangen-Höchstadt";"2021";"06";43;3;1
"LK Erlangen-Höchstadt";"2021";"07";41;3;2
"LK Erlangen-Höchstadt";"2021";"08";64;27;1
"LK Erlangen-Höchstadt";"2021";"09";49;40;0
"LK Erlangen-Höchstadt";"2021";"10";52;67;2
"LK Erlangen-Höchstadt";"2021";"11";56;110;1
"LK Erlangen-Höchstadt";"2021";"12";82;90;0
"LK Erlangen-Höchstadt";"2021";"13";64;89;1
"LK Erlangen-Höchstadt";"2021";"14";44;101;0
"LK Erlangen-Höchstadt";"2021";"15";51;120;0
"LK Erlangen-Höchstadt";"2021";"16";113;105;0
"LK Erlangen-Höchstadt";"2021";"17";91;91;0
"LK Erlangen-Höchstadt";"2021";"18";48;47;1
"LK Erlangen-Höchstadt";"2021";"19";38;30;1
"LK Erlangen-Höchstadt";"2021";"20";28;20;0
"LK Erlangen-Höchstadt";"2021";"21";38;22;1
"LK Erlangen-Höchstadt";"2021";"22";21;16;0
"LK Erlangen-Höchstadt";"2021";"23";13;4;0
"LK Erlangen-Höchstadt";"2021";"24";2;5;0
"LK Erlangen-Höchstadt";"2021";"25";1;8;0
"LK Erlangen-Höchstadt";"2021";"26";3;4;0
"LK Erlangen-Höchstadt";"2021";"27";4;4;3
"LK Erlangen-Höchstadt";"2021";"28";3;7;0
"LK Erlangen-Höchstadt";"2021";"29";6;5;0
"LK Erlangen-Höchstadt";"2021";"30";9;15;1
"LK Erlangen-Höchstadt";"2021";"31";8;18;2
"LK Erlangen-Höchstadt";"2021";"32";10;5;3
"LK Erlangen-Höchstadt";"2021";"33";12;23;12
"LK Erlangen-Höchstadt";"2021";"34";24;36;16
"LK Erlangen-Höchstadt";"2021";"35";14;27;18
"LK Erlangen-Höchstadt";"2021";"36";26;29;14
"LK Erlangen-Höchstadt";"2021";"37";46;32;13
"LK Erlangen-Höchstadt";"2021";"38";36;26;1
"LK Erlangen-Höchstadt";"2021";"39";23;35;0
"LK Erlangen-Höchstadt";"2021";"40";16;68;1
"LK Erlangen-Höchstadt";"2021";"41";29;54;3
"LK Erlangen-Höchstadt";"2021";"42";68;160;1
"LK Erlangen-Höchstadt";"2021";"43";97;133;0
"LK Erlangen-Höchstadt";"2021";"44";131;134;1
"LK Erlangen-Höchstadt";"2021";"45";414;161;2
"LK Erlangen-Höchstadt";"2021";"46";520;49;2
"LK Forchheim";"2021";"01";205;0;3
"LK Forchheim";"2021";"02";180;0;2
"LK Forchheim";"2021";"03";93;5;7
"LK Forchheim";"2021";"04";91;41;5
"LK Forchheim";"2021";"05";53;73;7
"LK Forchheim";"2021";"06";32;22;12
"LK Forchheim";"2021";"07";25;41;7
"LK Forchheim";"2021";"08";23;57;24
"LK Forchheim";"2021";"09";42;45;22
"LK Forchheim";"2021";"10";26;72;13
"LK Forchheim";"2021";"11";16;90;9
"LK Forchheim";"2021";"12";19;109;8
"LK Forchheim";"2021";"13";31;79;3
"LK Forchheim";"2021";"14";37;101;0
"LK Forchheim";"2021";"15";41;77;0
"LK Forchheim";"2021";"16";52;92;0
"LK Forchheim";"2021";"17";38;78;2
"LK Forchheim";"2021";"18";23;84;0
"LK Forchheim";"2021";"19";14;33;2
"LK Forchheim";"2021";"20";16;38;0
"LK Forchheim";"2021";"21";7;12;0
"LK Forchheim";"2021";"22";7;13;0
"LK Forchheim";"2021";"23";10;31;0
"LK Forchheim";"2021";"24";2;9;0
"LK Forchheim";"2021";"25";3;2;0
"LK Forchheim";"2021";"26";3;4;0
"LK Forchheim";"2021";"27";0;2;1
"LK Forchheim";"2021";"28";6;10;1
"LK Forchheim";"2021";"29";2;11;0
"LK Forchheim";"2021";"30";4;11;0
"LK Forchheim";"2021";"31";0;7;0
"LK Forchheim";"2021";"32";1;8;0
"LK Forchheim";"2021";"33";6;15;0
"LK Forchheim";"2021";"34";17;36;1
"LK Forchheim";"2021";"35";13;46;0
"LK Forchheim";"2021";"36";15;51;1
"LK Forchheim";"2021";"37";21;54;3
"LK Forchheim";"2021";"38";7;43;0
"LK Forchheim";"2021";"39";9;67;0
"LK Forchheim";"2021";"40";30;61;0
"LK Forchheim";"2021";"41";35;82;1
"LK Forchheim";"2021";"42";41;104;0
"LK Forchheim";"2021";"43";55;114;1
"LK Forchheim";"2021";"44";210;105;0
"LK Forchheim";"2021";"45";506;45;0
"LK Forchheim";"2021";"46";514;7;0
"LK Freising";"2021";"01";161;2;0
"LK Freising";"2021";"02";261;0;0
"LK Freising";"2021";"03";163;4;0
"LK Freising";"2021";"04";155;0;0
"LK Freising";"2021";"05";129;8;1
"LK Freising";"2021";"06";82;10;1
"LK Freising";"2021";"07";47;38;1
"LK Freising";"2021";"08";72;45;4
"LK Freising";"2021";"09";75;72;15
"LK Freising";"2021";"10";50;68;19
"LK Freising";"2021";"11";59;128;6
"LK Freising";"2021";"12";68;151;5
"LK Freising";"2021";"13";64;154;2
"LK Freising";"2021";"14";56;256;18
"LK Freising";"2021";"15";60;262;27
"LK Freising";"2021";"16";43;191;26
"LK Freising";"2021";"17";44;176;25
"LK Freising";"2021";"18";31;122;16
"LK Freising";"2021";"19";17;78;2
"LK Freising";"2021";"20";14;35;2
"LK Freising";"2021";"21";17;27;1
"LK Freising";"2021";"22";9;16;0
"LK Freising";"2021";"23";1;13;0
"LK Freising";"2021";"24";1;12;0
"LK Freising";"2021";"25";4;12;2
"LK Freising";"2021";"26";3;7;1
"LK Freising";"2021";"27";10;17;1
"LK Freising";"2021";"28";15;32;0
"LK Freising";"2021";"29";21;27;1
"LK Freising";"2021";"30";15;28;1
"LK Freising";"2021";"31";19;37;1
"LK Freising";"2021";"32";13;48;0
"LK Freising";"2021";"33";34;70;3
"LK Freising";"2021";"34";54;130;0
"LK Freising";"2021";"35";52;114;1
"LK Freising";"2021";"36";43;89;0
"LK Freising";"2021";"37";35;118;1
"LK Freising";"2021";"38";24;92;0
"LK Freising";"2021";"39";39;107;0
"LK Freising";"2021";"40";46;99;0
"LK Freising";"2021";"41";53;126;0
"LK Freising";"2021";"42";150;220;1
"LK Freising";"2021";"43";191;230;1
"LK Freising";"2021";"44";187;308;2
"LK Freising";"2021";"45";472;441;0
"LK Freising";"2021";"46";609;276;1
"LK Freyung-Grafenau";"2021";"01";169;0;0
"LK Freyung-Grafenau";"2021";"02";119;0;0
"LK Freyung-Grafenau";"2021";"03";119;2;0
"LK Freyung-Grafenau";"2021";"04";99;3;1
"LK Freyung-Grafenau";"2021";"05";66;8;3
"LK Freyung-Grafenau";"2021";"06";49;13;16
"LK Freyung-Grafenau";"2021";"07";0;12;50
"LK Freyung-Grafenau";"2021";"08";0;39;43
"LK Freyung-Grafenau";"2021";"09";0;52;67
"LK Freyung-Grafenau";"2021";"10";0;62;44
"LK Freyung-Grafenau";"2021";"11";0;74;33
"LK Freyung-Grafenau";"2021";"12";1;70;40
"LK Freyung-Grafenau";"2021";"13";0;75;31
"LK Freyung-Grafenau";"2021";"14";0;88;26
"LK Freyung-Grafenau";"2021";"15";1;115;33
"LK Freyung-Grafenau";"2021";"16";41;135;16
"LK Freyung-Grafenau";"2021";"17";26;71;1
"LK Freyung-Grafenau";"2021";"18";24;81;1
"LK Freyung-Grafenau";"2021";"19";21;58;0
"LK Freyung-Grafenau";"2021";"20";15;36;3
"LK Freyung-Grafenau";"2021";"21";16;17;0
"LK Freyung-Grafenau";"2021";"22";4;5;0
"LK Freyung-Grafenau";"2021";"23";2;6;0
"LK Freyung-Grafenau";"2021";"24";0;2;0
"LK Freyung-Grafenau";"2021";"26";0;1;0
"LK Freyung-Grafenau";"2021";"28";2;2;0
"LK Freyung-Grafenau";"2021";"29";3;2;7
"LK Freyung-Grafenau";"2021";"30";0;0;4
"LK Freyung-Grafenau";"2021";"31";3;2;0
"LK Freyung-Grafenau";"2021";"32";0;8;0
"LK Freyung-Grafenau";"2021";"33";2;10;0
"LK Freyung-Grafenau";"2021";"34";5;17;0
"LK Freyung-Grafenau";"2021";"35";2;25;0
"LK Freyung-Grafenau";"2021";"36";5;39;0
"LK Freyung-Grafenau";"2021";"37";12;65;0
"LK Freyung-Grafenau";"2021";"38";19;57;0
"LK Freyung-Grafenau";"2021";"39";19;69;0
"LK Freyung-Grafenau";"2021";"40";31;89;0
"LK Freyung-Grafenau";"2021";"41";29;114;0
"LK Freyung-Grafenau";"2021";"42";88;81;0
"LK Freyung-Grafenau";"2021";"43";210;123;1
"LK Freyung-Grafenau";"2021";"44";289;177;0
"LK Freyung-Grafenau";"2021";"45";587;213;0
"LK Freyung-Grafenau";"2021";"46";1031;202;0
"LK Fürstenfeldbruck";"2021";"01";261;0;0
