"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";18019;16937;1;470;35427
"'6-11";34079;30730;4;1108;65921
"'12-15";23773;21988;4;432;46197
"16-19";28963;28334;4;446;57747
"20-34";131124;120846;9;2302;254281
"35-59";187136;190662;15;3100;380913
"60-79";65843;64729;2;745;131319
"80+";20862;38459;2;423;59746
"Unbekannt";122;108;0;17;247
"Gesamt";509921;512793;41;9043;1031798
