"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";23143;21835;1;556;45535
"'6-11";46624;42108;3;1499;90234
"'12-15";30318;28098;6;502;58924
"16-19";33949;33052;4;503;67508
"20-34";152986;142413;10;2513;297922
"35-59";226093;231448;15;3453;461009
"60-79";78959;77849;2;815;157625
"80+";23742;43053;2;435;67232
"Unbekannt";154;142;0;17;313
"Gesamt";615968;619998;43;10293;1246302
