"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";32790;30939;1;738;64468
"'6-11";65610;59114;4;1883;126611
"'12-15";40379;37497;6;643;78525
"16-19";45172;44813;5;637;90627
"20-34";198880;188321;14;3141;390356
"35-59";282118;290634;19;4117;576888
"60-79";91070;89471;3;938;181482
"80+";25943;46655;2;460;73060
"Unbekannt";195;193;0;13;401
"Gesamt";782157;787637;54;12570;1582418
