"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"3";"0";"0";"5"
"'6-11";"2";"2";"0";"0";"4"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"1";"0";"0";"2"
"20-34";"25";"24";"0";"0";"49"
"35-59";"758";"320";"0";"2";"1080"
"60-79";"4104";"2224";"0";"20";"6348"
"80+";"6335";"7717";"0";"52";"14104"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"11227";"10292";"0";"74";"21593"
