"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1445;1334;39;2818
"'10-19";2979;2884;42;5905
"20-29";6444;5944;80;12468
"30-39";4907;4700;59;9666
"40-49";4545;5295;46;9886
"50-59";5444;5794;20;11258
"60-69";2944;2574;10;5528
"70-79";2291;2182;5;4478
"80-89";1618;2597;3;4218
"90-99";262;854;0;1116
"100+";2;14;0;16
"Unbekannt";6;10;2;18
"Gesamt";32887;34182;306;67375
