"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";4718;4336;0;191;9245
"'10-19";9763;9200;0;251;19214
"20-29";17471;15788;1;480;33740
"30-39";13935;12575;1;433;26944
"40-49";12820;13564;3;393;26780
"50-59";15203;14921;2;272;30398
"60-69";7649;6944;3;120;14716
"70-79";5155;5177;0;66;10398
"80-89";3390;5641;0;36;9067
"90-99";562;1878;0;12;2452
"100+";13;50;0;1;64
"Unbekannt";79;75;0;335;489
"Gesamt";90758;90149;10;2590;183507
