"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";8021;7415;0;364;15800
"'10-19";15386;14770;0;456;30612
"20-29";25705;23431;2;830;49968
"30-39";21048;19802;2;797;41649
"40-49";19696;21360;3;701;41760
"50-59";23444;23700;3;536;47683
"60-69";11959;11094;3;227;23283
"70-79";8170;8612;0;130;16912
"80-89";5980;10820;1;110;16911
"90-99";1162;3870;0;35;5067
"100+";24;95;0;4;123
"Unbekannt";109;101;0;40;250
"Gesamt";140704;145070;14;4230;290018
