"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";25063;23659;1;588;49311
"'6-11";51163;46123;3;1487;98776
"'12-15";32292;29962;6;530;62790
"16-19";35447;34592;4;520;70563
"20-34";159844;149390;11;2580;311825
"35-59";237215;242976;16;3550;483757
"60-79";82073;80953;2;837;163865
"80+";24464;44237;2;445;69148
"Unbekannt";125;118;0;10;253
"Gesamt";647686;652010;45;10547;1310288
