"Meldelandkreis";"Insgesamt VOC";"B.1.1.7 (UK-Variante)";"B.1.351 (SüdAfrika-Variante)";"P.1 (Brazil-Variante)";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";901;760;9;0;132;3958;4859
"LK Altötting";1221;1191;1;1;28;4422;5643
"LK Amberg-Sulzbach";1029;613;0;0;416;3574;4603
"LK Ansbach";1310;1293;1;0;16;6459;7769
"LK Aschaffenburg";1036;999;2;0;35;6528;7564
"LK Augsburg";1649;1425;105;9;110;8893;10542
"LK Bad Kissingen";632;588;14;0;30;2699;3331
"LK Bad Tölz-Wolfratshausen";806;757;2;0;47;3900;4706
"LK Bamberg";719;703;6;2;8;4338;5057
"LK Bayreuth";1048;62;0;0;986;3692;4740
"LK Berchtesgadener Land";546;540;6;0;0;5016;5562
"LK Cham";2585;2529;1;2;53;4172;6757
"LK Coburg";726;715;2;0;9;3562;4288
"LK Dachau";1300;1272;0;0;28;6527;7827
"LK Deggendorf";474;85;0;0;389;5960;6434
"LK Dillingen a.d.Donau";612;578;17;0;17;2713;3325
"LK Dingolfing-Landau";1412;1390;6;0;16;3825;5237
"LK Donau-Ries";1250;1099;13;0;138;4227;5477
"LK Ebersberg";696;653;5;1;37;5246;5942
"LK Eichstätt";1021;801;1;1;218;3726;4747
"LK Erding";1083;1046;4;4;29;5518;6601
"LK Erlangen-Höchstadt";804;770;0;1;33;4261;5065
"LK Forchheim";906;900;0;0;6;3584;4490
"LK Freising";1458;1318;2;1;137;6434;7892
"LK Freyung-Grafenau";797;708;21;0;68;3831;4628
"LK Fürstenfeldbruck";1388;1362;4;2;20;7804;9192
"LK Fürth";780;763;2;0;15;4159;4939
"LK Garmisch-Partenkirchen";602;569;4;0;29;2759;3361
"LK Günzburg";1011;891;84;0;36;4983;5994
"LK Haßberge";1020;992;1;0;27;2776;3796
"LK Hof";1897;1862;3;0;32;4187;6084
"LK Kelheim";1264;1231;0;3;30;4165;5429
"LK Kitzingen";492;483;0;3;6;2471;2963
"LK Kronach";682;680;1;1;0;3137;3819
"LK Kulmbach";1280;1224;2;0;54;2638;3918
"LK Landsberg a.Lech";740;523;138;0;79;3115;3855
"LK Landshut";1473;867;0;0;606;5926;7399
"LK Lichtenfels";804;799;1;0;4;2448;3252
"LK Lindau";623;585;13;0;25;2537;3160
"LK Main-Spessart";998;984;1;2;11;3424;4422
"LK Miesbach";537;519;0;0;18;3563;4100
"LK Miltenberg";853;836;2;0;15;4604;5457
"LK Mühldorf a.Inn";1463;1443;6;0;14;5176;6639
"LK München";2141;1991;2;0;148;12382;14523
"LK Neu-Ulm";1254;1137;59;2;56;5420;6674
"LK Neuburg-Schrobenhausen";796;769;1;2;24;3078;3874
"LK Neumarkt i.d.OPf.";525;460;0;0;65;5410;5935
"LK Neustadt a.d.Aisch-Bad Windsheim";764;726;0;2;36;3300;4064
"LK Neustadt a.d.Waldnaab";1076;69;1;0;1006;4027;5103
"LK Nürnberger Land";1037;996;4;4;33;5777;6814
"LK Oberallgäu";1412;1268;56;0;88;4148;5560
"LK Ostallgäu";2079;1997;24;1;57;4509;6588
"LK Passau";1445;1343;31;2;69;10976;12421
"LK Pfaffenhofen a.d.Ilm";1180;1071;2;31;76;4142;5322
"LK Regen";939;923;1;0;15;4361;5300
"LK Regensburg";1920;1869;0;1;50;5647;7567
"LK Rhön-Grabfeld";750;745;0;3;2;2490;3240
"LK Rosenheim";1843;1734;1;2;106;11231;13074
"LK Roth";977;961;3;0;13;4407;5384
"LK Rottal-Inn";1190;1175;1;0;14;5718;6908
"LK Schwandorf";2786;2660;0;0;126;5078;7864
"LK Schweinfurt";823;803;12;2;6;3781;4604
"LK Starnberg";650;634;2;2;12;4195;4845
"LK Straubing-Bogen";1122;1085;1;1;35;3876;4998
"LK Tirschenreuth";1426;1388;0;0;38;3808;5234
"LK Traunstein";2159;2096;15;0;48;8236;10395
"LK Unterallgäu";1425;1346;5;2;72;4854;6279
"LK Weilheim-Schongau";674;666;3;0;5;3925;4599
"LK Weißenburg-Gunzenhausen";640;632;1;0;7;2987;3627
"LK Wunsiedel i.Fichtelgebirge";1426;818;0;0;608;3485;4911
"LK Würzburg";818;808;1;1;8;3306;4124
"SK Amberg";443;235;0;0;208;1218;1661
"SK Ansbach";171;167;0;0;4;1522;1693
"SK Aschaffenburg";557;541;0;0;16;2544;3101
"SK Augsburg";2198;1721;51;6;420;14210;16408
"SK Bamberg";420;417;3;0;0;2450;2870
"SK Bayreuth";815;35;0;0;780;2512;3327
"SK Coburg";345;343;0;0;2;1747;2092
"SK Erlangen";523;505;0;0;18;3174;3697
"SK Fürth";1516;1491;2;1;22;5468;6984
"SK Hof";1298;1233;1;0;64;2481;3779
"SK Ingolstadt";948;925;1;10;12;4650;5598
"SK Kaufbeuren";521;512;0;0;9;1640;2161
"SK Kempten";931;862;23;0;46;1728;2659
"SK Landshut";701;343;0;0;358;3020;3721
"SK Memmingen";294;255;5;7;27;1587;1881
"SK München";10955;9143;23;6;1783;57629;68584
"SK Nürnberg";3866;3702;5;17;142;27925;31791
"SK Passau";334;319;0;0;15;2975;3309
"SK Regensburg";1658;1627;4;1;26;4817;6475
"SK Rosenheim";613;576;0;0;37;3080;3693
"SK Schwabach";302;299;0;0;3;1749;2051
"SK Schweinfurt";663;645;10;5;3;1989;2652
"SK Straubing";494;485;0;0;9;1685;2179
"SK Weiden i.d.OPf.";566;30;2;0;534;2064;2630
"SK Würzburg";825;813;2;0;10;3313;4138
