"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";23117;21424;1;696;45238
"'10-19";37470;35867;5;870;74212
"20-29";59052;53545;4;1404;114005
"30-39";50048;46757;4;1317;98126
"40-49";46403;48794;4;1180;96381
"50-59";53828;52471;4;925;107228
"60-69";27149;25343;1;403;52896
"70-79";16593;17804;0;240;34637
"80-89";11799;20938;2;266;33005
"90-99";2167;7388;0;78;9633
"100+";23;150;0;4;177
"Unbekannt";18;18;0;6;42
"Gesamt";327667;330499;25;7389;665580
