"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";24282;22951;1;576;47810
"'6-11";49326;44505;3;1503;95337
"'12-15";31473;29230;6;524;61233
"16-19";34829;33962;4;511;69306
"20-34";156863;146386;11;2545;305805
"35-59";232779;238438;16;3511;474744
"60-79";80876;79781;2;834;161493
"80+";24211;43786;2;442;68441
"Unbekannt";161;149;0;10;320
"Gesamt";634800;639188;45;10456;1284489
