"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";639;609;4;1252
"'10-19";1295;1494;4;2793
"20-29";3581;3572;23;7176
"30-39";3125;3148;16;6289
"40-49";3118;3838;8;6964
"50-59";4250;4801;2;9053
"60-69";2524;2165;2;4691
"70-79";2061;1969;1;4031
"80-89";1515;2422;1;3938
"90-99";245;804;1;1050
"100+";2;15;0;17
"Unbekannt";8;6;1;15
"Gesamt";22363;24843;63;47269
