"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"79483";"74736";"7";"1575";"155801"
"'6-11";"165270";"149336";"18";"3953";"318577"
"'12-15";"93353";"86600";"15";"1573";"181541"
"16-19";"95800";"96870";"18";"1382";"194070"
"20-34";"392550";"395789";"48";"5827";"794214"
"35-59";"563341";"602828";"57";"7715";"1173941"
"60-79";"160069";"160019";"12";"1617";"321717"
"80+";"40036";"70970";"3";"615";"111624"
"unbekannt";"934";"958";"1";"77";"1970"
"Gesamt";"1590836";"1638106";"179";"24334";"3253455"
