"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";21467;19893;2;828;42190
"'10-19";34338;32979;7;987;68311
"20-29";54789;49958;5;1588;106340
"30-39";47428;44391;9;1465;93293
"40-49";44384;46634;7;1350;92375
"50-59";52013;50808;7;1076;103904
"60-69";26414;24662;3;473;51552
"70-79";16316;17447;6;294;34063
"80-89";11607;20613;18;329;32567
"90-99";2136;7271;5;110;9522
"100+";25;152;0;5;182
"Unbekannt";37;33;0;10;80
"Gesamt";310954;314841;69;8515;NA
