"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1453;1042;11;0;263;137;4217;5670
"LK Altötting";1994;1564;2;3;403;22;4630;6624
"LK Amberg-Sulzbach";1276;805;0;1;118;352;3723;4999
"LK Ansbach";1701;1579;1;2;90;29;7084;8785
"LK Aschaffenburg";1818;1425;4;1;357;31;6742;8560
"LK Augsburg";3108;2165;114;23;698;108;9293;12401
"LK Bad Kissingen";948;823;36;0;49;40;2845;3793
"LK Bad Tölz-Wolfratshausen";1346;982;0;0;300;64;4287;5633
"LK Bamberg";1420;1140;17;3;255;5;4576;5996
"LK Bayreuth";1234;1166;0;0;68;0;3816;5050
"LK Berchtesgadener Land";1165;751;12;4;398;0;5654;6819
"LK Cham";3184;2966;3;5;156;54;4166;7350
"LK Coburg";1332;1227;3;0;89;13;3715;5047
"LK Dachau";2176;1603;2;1;537;33;6943;9119
"LK Deggendorf";883;274;1;1;10;597;6604;7487
"LK Dillingen a.d.Donau";1433;1011;26;0;388;8;2847;4280
"LK Dingolfing-Landau";2409;1963;13;1;406;26;3970;6379
"LK Donau-Ries";2018;1445;45;1;374;153;4437;6455
"LK Ebersberg";1564;966;6;2;538;52;5439;7003
"LK Eichstätt";1512;1300;1;7;175;29;4094;5606
"LK Erding";1884;1302;6;12;519;45;5789;7673
"LK Erlangen-Höchstadt";1182;951;2;7;173;49;4590;5772
"LK Forchheim";1388;1194;1;3;183;7;3676;5064
"LK Freising";2290;1645;9;8;508;120;6780;9070
"LK Freyung-Grafenau";1125;933;26;0;100;66;3924;5049
"LK Fürstenfeldbruck";2376;1776;11;0;550;39;8227;10603
"LK Fürth";1330;1116;8;0;192;14;4321;5651
"LK Garmisch-Partenkirchen";1032;848;4;2;135;43;2846;3878
"LK Günzburg";2221;1702;100;1;358;60;5286;7507
"LK Haßberge";1443;1312;18;0;83;30;2856;4299
"LK Hof";2247;2131;5;0;81;30;4278;6525
"LK Kelheim";1981;1568;1;3;377;32;4552;6533
"LK Kitzingen";917;710;2;3;194;8;2610;3527
"LK Kronach";895;857;2;1;25;10;3439;4334
"LK Kulmbach";1523;1356;0;0;107;60;2703;4226
"LK Landsberg a.Lech";1164;727;136;0;197;104;3321;4485
"LK Landshut";2503;1630;0;1;488;384;6108;8611
"LK Lichtenfels";1252;1155;1;0;89;7;2475;3727
"LK Lindau";1022;823;13;0;167;19;2650;3672
"LK Main-Spessart";1515;1279;2;1;224;9;3496;5011
"LK Miesbach";928;802;2;0;106;18;3941;4869
"LK Miltenberg";1696;1307;2;0;370;17;4790;6486
"LK Mühldorf a.Inn";2079;1681;6;10;362;20;5383;7462
"LK München";3486;2583;6;4;723;170;13201;16687
"LK Neu-Ulm";2613;2153;70;3;365;22;5863;8476
"LK Neuburg-Schrobenhausen";1303;996;2;2;278;25;3287;4590
"LK Neumarkt i.d.OPf.";914;593;0;0;252;69;6118;7032
"LK Neustadt a.d.Aisch-Bad Windsheim";1188;1015;0;0;130;43;3410;4598
"LK Neustadt a.d.Waldnaab";1302;496;1;0;98;707;4120;5422
"LK Nürnberger Land";1716;1494;5;7;174;36;6083;7799
"LK Oberallgäu";2359;1775;53;2;443;86;4117;6476
"LK Ostallgäu";2883;2406;28;2;388;59;4832;7715
"LK Passau";2281;1947;33;2;273;26;11012;13293
"LK Pfaffenhofen a.d.Ilm";1760;1361;2;35;286;76;4356;6116
"LK Regen";1306;1153;1;1;136;15;4410;5716
"LK Regensburg";2944;2445;0;1;434;64;5975;8919
"LK Rhön-Grabfeld";1057;937;5;3;109;3;2668;3725
"LK Rosenheim";3332;2331;1;7;886;107;12069;15401
"LK Roth";1424;1206;3;0;198;17;4575;5999
"LK Rottal-Inn";1990;1656;13;11;296;14;6042;8032
"LK Schwandorf";3579;3193;1;1;312;72;5249;8828
"LK Schweinfurt";1410;1266;29;4;109;2;4130;5540
"LK Starnberg";1263;818;2;3;417;23;4409;5672
"LK Straubing-Bogen";1670;1389;1;1;243;36;4020;5690
"LK Tirschenreuth";1647;1564;0;0;70;13;3784;5431
"LK Traunstein";3297;2606;23;3;622;43;8648;11945
"LK Unterallgäu";2849;2344;3;7;479;16;5070;7919
"LK Weilheim-Schongau";1458;1091;5;0;361;1;4177;5635
"LK Weißenburg-Gunzenhausen";987;800;3;0;117;67;3223;4210
"LK Wunsiedel i.Fichtelgebirge";1658;1549;0;0;103;6;3502;5160
"LK Würzburg";1458;1055;7;3;390;3;3455;4913
"SK Amberg";655;318;0;0;157;180;1307;1962
"SK Ansbach";298;239;0;1;49;9;1727;2025
"SK Aschaffenburg";1014;759;1;1;235;18;2841;3855
"SK Augsburg";5545;3115;70;12;1801;547;14518;20063
"SK Bamberg";877;580;4;0;287;6;2590;3467
"SK Bayreuth";986;891;0;0;95;0;2663;3649
"SK Coburg";654;585;3;0;65;1;1846;2500
"SK Erlangen";835;644;0;1;167;23;3491;4326
"SK Fürth";2450;2037;6;2;377;28;5786;8236
"SK Hof";1576;1406;2;0;110;58;2545;4121
"SK Ingolstadt";2055;1404;1;11;622;17;4951;7006
"SK Kaufbeuren";872;701;0;0;160;11;1753;2625
"SK Kempten";1564;1262;27;0;225;50;1986;3550
"SK Landshut";1296;745;1;0;315;235;3139;4435
"SK Memmingen";682;521;5;9;117;30;1820;2502
"SK München";18077;12731;86;39;4481;740;62890;80967
"SK Nürnberg";7295;5899;16;4;1142;234;29628;36923
"SK Passau";504;401;0;0;97;6;3023;3527
"SK Regensburg";2581;2051;3;1;487;39;5192;7773
"SK Rosenheim";1150;724;0;10;380;36;3359;4509
"SK Schwabach";487;380;0;0;103;4;1832;2319
"SK Schweinfurt";1211;1071;25;9;103;3;2288;3499
"SK Straubing";801;642;0;1;147;11;1765;2566
"SK Weiden i.d.OPf.";727;309;2;1;108;307;2134;2861
"SK Würzburg";1635;1138;4;0;491;2;3526;5161
