"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";2582;2411;0;68;5061
"'10-19";5708;5390;0;105;11203
"20-29";10912;9852;0;208;20972
"30-39";8417;7565;0;146;16128
"40-49";7694;8319;0;128;16141
"50-59";9114;8983;1;103;18201
"60-69";4613;4078;0;36;8727
"70-79";3276;3158;0;25;6459
"80-89";2107;3320;0;20;5447
"90-99";332;1076;0;2;1410
"100+";5;27;0;0;32
"Unbekannt";42;53;0;22;117
"Gesamt";54802;54232;1;863;109898
