"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1189;1042;10;0;0;137;3994;5183
"LK Altötting";1595;1561;2;3;8;21;4464;6059
"LK Amberg-Sulzbach";1158;805;0;1;0;352;3677;4835
"LK Ansbach";1612;1580;1;2;4;25;6798;8410
"LK Aschaffenburg";1478;1421;4;1;21;31;6549;8027
"LK Augsburg";2443;2161;114;23;40;105;9032;11475
"LK Bad Kissingen";895;820;35;0;0;40;2749;3644
"LK Bad Tölz-Wolfratshausen";1044;980;0;0;8;56;4058;5102
"LK Bamberg";1180;1139;17;3;16;5;4450;5630
"LK Bayreuth";1165;1164;0;0;1;0;3770;4935
"LK Berchtesgadener Land";774;751;12;4;7;0;5261;6035
"LK Cham";3027;2962;3;3;2;57;4108;7135
"LK Coburg";1244;1228;3;1;1;11;3645;4889
"LK Dachau";1655;1602;2;1;17;33;6595;8250
"LK Deggendorf";868;267;1;0;4;596;6131;6999
"LK Dillingen a.d.Donau";1042;1006;26;0;3;7;2744;3786
"LK Dingolfing-Landau";1994;1960;13;1;5;15;3823;5817
"LK Donau-Ries";1654;1445;45;1;10;153;4354;6008
"LK Ebersberg";1028;964;6;2;7;49;5351;6379
"LK Eichstätt";1340;1300;1;7;3;29;3738;5078
"LK Erding";1354;1302;6;12;4;30;5620;6974
"LK Erlangen-Höchstadt";1006;949;2;7;0;48;4419;5425
"LK Forchheim";1158;1144;0;0;6;8;3636;4794
"LK Freising";1747;1595;7;7;3;135;6465;8212
"LK Freyung-Grafenau";1026;934;26;0;0;66;3888;4914
"LK Fürstenfeldbruck";1832;1773;11;0;9;39;7905;9737
"LK Fürth";1138;1107;8;0;9;14;4238;5376
"LK Garmisch-Partenkirchen";867;828;4;1;3;31;2784;3651
"LK Günzburg";1862;1696;100;1;8;57;5110;6972
"LK Haßberge";1359;1311;18;0;0;30;2718;4077
"LK Hof";2161;2125;5;0;0;31;4245;6406
"LK Kelheim";1607;1567;1;3;4;32;4333;5940
"LK Kitzingen";752;709;2;3;30;8;2544;3296
"LK Kronach";871;857;2;1;1;10;3357;4228
"LK Kulmbach";1408;1341;2;0;4;61;2679;4087
"LK Landsberg a.Lech";935;723;135;0;2;75;3170;4105
"LK Landshut";2012;1628;0;1;3;380;6018;8030
"LK Lichtenfels";1160;1152;1;0;0;7;2429;3589
"LK Lindau";858;821;13;0;5;19;2592;3450
"LK Main-Spessart";1298;1278;2;1;8;9;3466;4764
"LK Miesbach";827;801;2;0;6;18;3770;4597
"LK Miltenberg";1331;1303;2;0;9;17;4677;6008
"LK Mühldorf a.Inn";1720;1680;6;8;7;19;5256;6976
"LK München";2761;2576;6;3;16;160;12645;15406
"LK Neu-Ulm";2168;2032;70;3;4;59;5602;7770
"LK Neuburg-Schrobenhausen";1024;996;1;2;0;25;3150;4174
"LK Neumarkt i.d.OPf.";670;592;0;0;9;69;5903;6573
"LK Neustadt a.d.Aisch-Bad Windsheim";1058;1015;0;0;1;42;3332;4390
