"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";11549;10707;1;527;22784
"'10-19";21154;20801;4;654;42613
"20-29";36379;34006;4;1256;71645
"30-39";30693;29166;8;1153;61020
"40-49";28658;31525;4;1069;61256
"50-59";34524;35619;6;827;70976
"60-69";18210;17024;3;389;35626
"70-79";12412;13407;6;263;26088
"80-89";9845;17912;18;316;28091
"90-99";1902;6607;5;105;8619
"100+";36;142;0;5;183
"Unbekannt";32;42;0;29;103
"Gesamt";205394;216958;59;6593;429004
